"","ID","plot_order"
"1","UMMZ_242606_Ct_aust",1
"2","UMMZ_242607_Ct_aust",2
"3","WAMR_115114_Ct_aust",3
"4","WAMR_115119_Ct_aust",4
"5","SAMAR_51242_Ct_regi",5
"6","SAMAR_53967_Ct_regi",6
"7","SAMR_36241_Ct_hele",7
"8","SAMAR_51421_Ct_regi",8
"9","SAMAR_32289_Ct_regi",9
"10","SAMR_48330_Ct_regi",10
"11","SAMAR_54164_Ct_regi",11
"12","SAMR_47236_Ct_regi",12
"13","SAMAR_40597_Ct_regi",13
"14","SAMAR_31877_Ct_regi",14
"15","SAMAR_40888_Ct_regi",15
"16","SAMR_55163_Ct_regi",16
"17","SAMAR_48098_Ct_regi",17
"18","SAMAR_57181_Ct_regi",18
"19","SAMAR_57722_Ct_regi",19
"20","NA_ABTC86833_Ct_regi",20
"21","SAMAR_54242_Ct_leae",21
"22","SAMAR_51431_Ct_leae",22
"23","SAMAR_24688_Ct_leae",23
"24","SAMAR_43880_Ct_leae",24
"25","SAMAR_66522_Ct_leae",25
"26","SAMAR_38585_Ct_leae",26
"27","SAMAR_46332_Ct_leae",27
"28","SAMAR_40799_Ct_leae",28
"29","SAMAR_52787_Ct_leae",29
"30","SAMAR_31889_Ct_leae",30
"31","SAMAR_36086_Ct_leae",31
"32","SAMAR_32054_Ct_leae",32
"33","SAMAR_45966_Ct_leae",33
"34","CUMV_14470_Ct_leae",34
"35","NA_ABTC10512_Ct_leae",35
"36","SAMAR_29853_Ct_leae",36
"37","CUMV_14469_Ct_leae",37
"38","CUMV_14468_Ct_leae",38
"39","CUMV_14467_Ct_leae",39
"40","SAMAR_28517_Ct_olym",40
"41","SAMAR_45620_Ct_olym",41
"42","AMSR_153434_Ct_uber",42
"43","SAMAR_41282_Ct_olym",43
"44","SAMR_48964_Ct_olym",44
"45","SAMAR_44654_Ct_olym",45
"46","SAMAR_62424_Ct_orie",46
"47","SAMAR_43599_Ct_olym",47
"48","AMSR_152993_Ct_uber",48
"49","AMSR_138399_Ct_uber",49
"50","SAMAR_61391_Ct_orie",50
"51","SAMAR_25645_Ct_orie",51
"52","WAMR_112780_Ct_orie",52
"53","SAMAR_38335_Ct_orie",53
"54","SAMAR_49444_Ct_orie",54
"55","SAMAR_39580_Ct_orie",55
"56","SAMAR_52918_Ct_orie",56
"57","SAMAR_42950_Ct_orie",57
"58","SAMAR_42949_Ct_orie",58
"59","SAMAR_42823_Ct_asta",59
"60","SAMAR_42903_Ct_asta",60
"61","SAMAR_42840_Ct_asta",61
"62","SAMAR_42843_Ct_asta",62
"63","QMJ_62373_Ct_asta",63
"64","WAMR_139532_Ct_iape",64
"65","SAMR_44403_Ct_quat",65
"66","SAMR_43844_Ct_quat",66
"67","WAMR_127432_Ct_quat",67
"68","UMMZ_242645_Ct_quat",68
"69","UMMZ_242646_Ct_quat",69
"70","SAMR_58939_Ct_quat",70
"71","SAMR_48772_Ct_quat",71
"72","CUMV_14847_Ct_quat",72
"73","SAMR_62088_Ct_quat",73
"74","NTMR_13629_Ct_gree",74
"75","SAMR_48771_Ct_gree",75
"76","CUMV_14378_Ct_gree",76
"77","CUMV_14377_Ct_gree",77
"78","SAMAR_42701_Ct_pulc",78
"79","SAMR_42772_Ct_pulc",79
"80","SAMAR_42675_Ct_pulc",80
"81","SAMR_42708_Ct_pulc",81
"82","SAMAR_42708_Ct_pulc",82
"83","SAMR_55678_Ct_hebe",83
"84","SAMAR_55677_Ct_hebe",84
"85","SAMR_65347_Ct_hebe",85
"86","SAMR_65346_Ct_hebe",86
"87","SAMAR_42776_Ct_hebe",87
"88","SAMAR_42788_Ct_hebe",88
"89","SAMAR_42880_Ct_hebe",89
"90","SAMR_65380_Ct_hebe",90
"91","NA_ABTC113897_Ct_hebe",91
"92","SAMR_65379_Ct_hebe",92
"93","SAMR_51082_Ct_leon",93
"94","SAMR_49090_Ct_leon",94
"95","SAMR_51580_Ct_leon",95
"96","NTMR_25649_Ct_leon",96
"97","SAMR_22246_Ct_leon",97
"98","SAMR_46944_Ct_leon",98
"99","NA_CCM1955_Ct_leon",99
"100","WAMR_119774_Ct_leon",100
"101","SAMR_62131_Ct_leon",101
"102","WAMR_166448_Ct_leon",102
"103","WAMR_144639_Ct_leon",103
"104","WAMR_129973_Ct_leon",104
"105","CUMV_14742_Ct_leon",105
"106","CUMV_14744_Ct_leon",106
"107","CUMV_14730_Ct_leon",107
"108","WAMR_117303_Ct_leon",108
"109","WAMR_131785_Ct_leon",109
