cluster,taxon,Freq,label
cluster_10,leonhardii,11,leonhardii (1)
cluster_1,leonhardii,6,leonhardii (2)
cluster_9,hebetior,10,hebetior
cluster_6,pulchellus,5,pulchellus
cluster_5,quattuordecimlineatus,9,quattuordecimlineatus
cluster_3,astarte,7,astarte
cluster_2,orientalis,7,orientalis
cluster_4,olympicus,8,olympicus
cluster_7,leae,19,leae
cluster_8,regius,16,regius
cluster_11,australis,4,australis
