"","ID","plot_order"
"1","UMMZ_242648_Ct_scho",1
"2","WAMR_102261_Ct_scho",2
"3","CUMV_14700_Ct_scho",3
"4","WAMR_151655_Ct_scho",4
"5","WAMR_100527_Ct_scho",5
"6","SAMAR_32255_Ct_scho",6
"7","SAMAR_45530_Ct_scho",7
"8","SAMAR_25378_Ct_scho",8
"9","SAMAR_26265_Ct_scho",9
"10","WAMR_151241_Ct_scho",10
"11","WAMR_077870_Ct_scho",11
"12","SAMR_65381_Ct_scho",12
"13","NA_ABTC113798_Ct_scho",13
"14","SAMAR_24578_Ct_scho",14
"15","SAMAR_48325_Ct_scho",15
"16","SAMAR_50062_Ct_scho",16
"17","SAMAR_48354_Ct_scho",17
"18","SAMAR_46452_Ct_scho",18
"19","SAMAR_35050_Ct_scho",19
"20","NA_ABTC12623_Ct_scho",20
"21","SAMAR_46104_Ct_scho",21
"22","SAMAR_62561_Ct_scho",22
"23","SAMAR_41903_Ct_scho",23
"24","SAMAR_60340_Ct_scho",24
"25","SAMR_62121_Ct_scho",25
"26","SAMAR_59192_Ct_scho",26
"27","SAMAR_49141_Ct_scho",27
"28","SAMAR_41321_Ct_scho",28
"29","SAMAR_37073_Ct_scho",29
"30","SAMAR_55848_Ct_stra",30
"31","SAMAR_55709_Ct_zebr",31
"32","SAMR_54494_Ct_zebr",32
"33","SAMR_54511_Ct_zebr",33
"34","QMJ_74401_Ct_zebr",34
"35","SAMR_55734_Ct_stra",35
"36","SAMAR_42743_Ct_stra",36
"37","SAMAR_36883_Ct_stra",37
"38","SAMAR_45516_Ct_stra",38
"39","NA_ABTC113879_Ct_stra",39
"40","SAMAR_42874_Ct_stra",40
"41","SAMR_42881_Ct_stra",41
"42","SAMAR_50902_Ct_stra",42
"43","SAMAR_42800_Ct_stra",43
"44","SAMAR_42955_Ct_stra",44
"45","SAMR_45029_Ct_stra",45
"46","SAMAR_41349_Ct_stra",46
"47","SAMAR_42343_Ct_stra",47
"48","NA_ABTC113898_Ct_stra",48
"49","SAMR_44903_Ct_stra",49
"50","SAMR_44955_Ct_stra",50
"51","SAMAR_37916_Ct_stra",51
"52","SAMR_46857_Ct_stra",52
"53","SAMAR_34780_Ct_stra",53
"54","SAMAR_48386_Ct_stra",54
"55","SAMR_42487_Ct_stra",55
"56","NTMR_14947_Ct_calu",56
"57","SAMR_62029_Ct_calu",57
"58","SAMAR_57213_Ct_calu",58
"59","WAMR_166440_Ct_calu",59
"60","SAMAR_48785_Ct_calu",60
"61","SAMAR_48699_Ct_calu",61
"62","SAMAR_45381_Ct_calu",62
"63","NA_ABTC89250_Ct_broo",63
"64","SAMAR_36575_Ct_eucl",64
"65","SAMAR_56672_Ct_broo",65
"66","SAMAR_25688_Ct_eucl",66
"67","SAMR_46072_Ct_eucl",67
"68","SAMAR_61390_Ct_eucl",68
"69","SAMR_44934_Ct_taen",69
"70","SAMAR_39563_Ct_taen",70
"71","SAMAR_36034_Ct_taen",71
"72","SAMAR_47257_Ct_taen",72
"73","SAMAR_42658_Ct_taen",73
"74","SAMR_35905_Ct_taen",74
"75","CUMV_14408_Ct_broo",75
"76","NA_DLR0549_Ct_broo",76
"77","SAMAR_58943_Ct_broo",77
"78","SAMAR_32029_Ct_broo",78
"79","SAMAR_26237_Ct_broo",79
"80","SAMAR_45963_Ct_broo",80
"81","NA_ABTC12607_Ct_broo",81
"82","SAMAR_29939_Ct_broo",82
"83","SAMAR_56458_Ct_broo",83
"84","SAMAR_65908_Ct_broo",84
"85","CUMV_14409_Ct_broo",85
"86","NA_ABTC10487_Ct_broo",86
"87","CUMV_14412_Ct_broo",87
"88","CUMV_14411_Ct_broo",88
