cluster,taxon,Freq,label
cluster_3,halysis,4,halysis (1)
cluster_2,halysis,2,halysis (2)
cluster_5,ehmanni,2,ehmanni
cluster_1,nasutus,2,nasutus
cluster_4,storri,3,storri
