cluster,taxon,Freq,label
cluster_3,brooksi,14,brooksi
cluster_6,euclae,6,euclae
cluster_8,calurus,7,calurus
cluster_2,strauchii,14,strauchii (1)
cluster_4,strauchii,7,strauchii (2)
cluster_1,zebrilla,5,zebrilla
cluster_7,schomburgkii,18,schomburgkii (1)
cluster_5,schomburgkii,11,schomburgkii (2)
