cluster,taxon,Freq,label
cluster_8,atlas,12,atlas
cluster_7,ariadnae,4,ariadnae
cluster_3,hanloni,3,hanloni
cluster_4,dux,19,dux
cluster_2,duricola,8,duricola
cluster_1,pallasotus,5,pallasotus
cluster_6,zastictus,3,zastictus
cluster_5,grandis,6,grandis
