cluster,taxon,Freq,label
cluster_5,essingtonii,6,essingtonii (1)
cluster_4,essingtonii,8,essingtonii (2)
cluster_3,vertebralis,8,vertebralis
cluster_2,joanae,5,joanae
cluster_1,coggeri,5,coggeri
