"","ID","plot_order"
"1","NA_CCM2556_Ct_cogg",1
"2","NA_CCM2339_Ct_essi",2
"3","NA_CCM2279_Ct_essi",3
"4","NA_CCM2281_Ct_cogg",4
"5","NA_CCM2294_Ct_essi",5
"6","SAMAR_43945_Ct_joan",6
"7","SAMAR_54020_Ct_joan",7
"8","SAMR_54024_Ct_joan",8
"9","SAMR_55275_Ct_joan",9
"10","SAMAR_34260_Ct_joan",10
"11","NA_CCM2519_Ct_vert",11
"12","NA_CCM2549_Ct_vert",12
"13","NA_CCM3915_Ct_vert",13
"14","NA_CCM2315_Ct_vert",14
"15","NTMR_16195_Ct_vert",15
"16","NA_CCM2343_Ct_vert",16
"17","NA_CCM5466_Ct_vert",17
"18","NA_CCM1971_Ct_vert",18
"19","NA_CCM3982_Ct_essi",19
"20","SAMAR_36710_Ct_essi",20
"21","NA_NEB008_Ct_essi",21
"22","NTMR_22191_Ct_essi",22
"23","NTMR_22188_Ct_essi",23
"24","NA_CCM4853_Ct_essi",24
"25","NA_CCM6122_Ct_essi",25
"26","NA_CCM6150_Ct_essi",26
"27","AMSR_111496_Ct_essi",27
"28","NA_K021_Ct_essi",28
"29","NA_CCM5043_Ct_essi",29
"30","NTMR_13717_Ct_essi",30
"31","NA_CCM5044_Ct_essi",31
"32","NA_K073_Ct_essi",32
