"","ID","plot_order"
"1","UMMZ_242608_Ct_gran",1
"2","UMMZ_242609_Ct_gran",2
"3","UMMZ_242613_Ct_gran",3
"4","CUMV_14312_Ct_gran",4
"5","SAMR_48821_Ct_gran",5
"6","CUMV_14305_Ct_gran",6
"7","UMMZ_242655_Ct_zast",7
"8","AMR_123129_Ct_zast",8
"9","UMMZ_242654_Ct_zast",9
"10","WAMR_111584_Ct_duri",10
"11","WAMR_102159_Ct_duri",11
"12","WAMR_102494_Ct_duri",12
"13","WAMR_141296_Ct_duri",13
"14","WAMR_110222_Ct_duri",14
"15","SAMR_48807_Ct_pian",15
"16","WAMR_166456_Ct_pian",16
"17","SAMR_45385_Ct_pian",17
"18","WAMR_119955_Ct_pian",18
"19","UMMZ_242644_Ct_pian",19
"20","WAMR_170880_Ct_duri",20
"21","WAMR_170467_Ct_duri",21
"22","WAMR_157067_Ct_duri",22
"23","WAMR_160095_Ct_duri",23
"24","WAMR_161462_Ct_duri",24
"25","WAMR_139394_Ct_duri",25
"26","WAMR_162334_Ct_duri",26
"27","WAMR_099165_Ct_duri",27
"28","CUMV_14373_Ct_dux",28
"29","CUMV_14366_Ct_dux",29
"30","CUMV_14370_Ct_dux",30
"31","CUMV_14374_Ct_dux",31
"32","CUMV_14367_Ct_dux",32
"33","SAMAR_48573_Ct_dux",33
"34","QMJ_62380_Ct_dux",34
"35","SAMR_56476_Ct_dux",35
"36","SAMR_62379_Ct_dux",36
"37","SAMR_45608_Ct_dux",37
"38","SAMR_42034_Ct_dux",38
"39","SAMAR_29946_Ct_dux",39
"40","SAMAR_57212_Ct_dux",40
"41","SAMR_36098_Ct_dux",41
"42","WAMR_166441_Ct_dux",42
"43","SAMR_46165_Ct_dux",43
"44","CUMV_14357_Ct_dux",44
"45","CUMV_14362_Ct_dux",45
"46","CUMV_14361_Ct_dux",46
"47","SAMR_48698_Ct_gran",47
"48","WAMR_157583_Ct_hanl",48
"49","WAMR_102472_Ct_hele",49
"50","SAMAR_45960_Ct_aria",50
"51","SAMAR_35025_Ct_aria",51
"52","SAMAR_38117_Ct_aria",52
"53","CUMV_14812_Ct_aria",53
"54","WAMR_158428_Ct_mary",54
"55","WAMR_140983_Ct_mary",55
"56","CUMV_14817_Ct_quat",56
"57","CUMV_14820_Ct_quat",57
"58","WAMR_126428_Ct_atla",58
"59","WAMR_136457_Ct_atla",59
"60","WAMR_135237_Ct_atla",60
"61","WAMR_135218_Ct_atla",61
"62","SAMR_55208_Ct_atla",62
"63","SAMR_60360_Ct_atla",63
"64","SAMR_32080_Ct_atla",64
"65","SAMR_32256_Ct_atla",65
"66","WAMR_113416_Ct_atla",66
"67","SAMR_31899_Ct_atla",67
"68","SAMR_37942_Ct_atla",68
"69","SAMR_57397_Ct_atla",69
