"","ID","plot_order"
"1","CUMV_14576_Ct_pant",1
"2","WAMR_153984_Ct_pant",2
"3","WAMR_129863_Ct_pant",3
"4","SAMR_55674_Ct_pant",4
"5","SAMR_54432_Ct_pant",5
"6","SAMR_49197_Ct_pant",6
"7","SAMR_65403_Ct_pant",7
"8","WAMR_108591_Ct_pant",8
"9","WAMR_135379_Ct_pant",9
"10","WAMR_104950_Ct_pant",10
"11","WAMR_145526_Ct_pant",11
"12","WAMR_132520_Ct_pant",12
"13","WAMR_158463_Ct_pant",13
"14","WAMR_129335_Ct_pant",14
"15","UMMZ_242643_Ct_pant",15
"16","SAMR_45310_Ct_pant",16
"17","SAMR_45528_Ct_pant",17
"18","SAMR_44860_Ct_pant",18
"19","CUMV_14567_Ct_pant",19
"20","CUMV_14517_Ct_pant",20
"21","WAMR_129885_Ct_pant",21
"22","WAMR_119962_Ct_pant",22
"23","WAMR_131057_Ct_pant",23
"24","UMMZ_242634_Ct_pant",24
"25","UMMZ_242633_Ct_pant",25
"26","SAMR_42153_Ct_pant",26
"27","UMMZ_242638_Ct_pant",27
"28","NA_CCM2756_Ct_pant",28
"29","QM_62378_Ct_pant",29
"30","NA_CCM1889_Ct_pant",30
"31","UMMZ_242639_Ct_pant",31
"32","WAMR_108704_Ct_pant",32
"33","WAMR_139092_Ct_pant",33
"34","WAMR_140704_Ct_pant",34
"35","SAMR_44378_Ct_pant",35
"36","CUMV_14516_Ct_pant",36
"37","CUMV_1450314572_Ct_pant",37
"38","CUMV_14559_Ct_pant",38
"39","CUMV_14570_Ct_pant",39
"40","CUMV_1457314504_Ct_pant",40
"41","CUMV_14527_Ct_pant",41
"42","CUMV_14525_Ct_pant",42
"43","CUMV_14526_Ct_pant",43
