cluster,taxon,Freq,label
cluster_4,essingtonii,6,essingtonii (1)
cluster_2,essingtonii,6,essingtonii (2)
cluster_1,essingtonii,2,essingtonii (3)
cluster_5,vertebralis,8,vertebralis
cluster_6,joanae,5,joanae
cluster_3,coggeri,5,coggeri
