cluster,taxon,Freq,label
cluster_4,pantherinus,28,pantherinus (1)
cluster_2,pantherinus,8,pantherinus (2)
cluster_3,pantherinus,4,pantherinus (3)
cluster_1,pantherinus,3,pantherinus (4)
