cluster,taxon,Freq,label
cluster_1,brooksi,14,brooksi
cluster_3,euclae,6,euclae
cluster_6,calurus,7,calurus
cluster_7,strauchii,14,strauchii (1)
cluster_2,strauchii,7,strauchii (2)
cluster_4,schomburgkii,18,schomburgkii (1)
cluster_5,schomburgkii,11,schomburgkii (2)
