"SAMPLE_ID","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","COLLECTOR_SP","UPDATED_SP","REGION","STATE","LOCATION","LAT","LON"
"WAMR_158345_Ct_scho","WAM_R158345","WAM158345","WAMR_158345","SCHOW158345","Ctenotus","schomburgkii","schomburgkii","Australia","WA","GIRALIA",-22.796,114.260833
"WAMR_127799_Ct_scho","WAM_R127799","WAM127799","WAMR_127799","SCHOW127799","Ctenotus","schomburgkii","schomburgkii","Australia","WA","MOUNT TOM PRICE MINE",-22.808,117.784722
"UMMZ_242648_Ct_scho","UMFS_20665",NA,"UMMZ_242648",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","WA","Hamelin Station",-26.4725,114.25648
"WAMR_102261_Ct_scho","WAM_R102261","WAM102261","WAMR_102261","SCHOW102261","Ctenotus","schomburgkii","schomburgkii","Australia","WA","BARLEE RANGE NATURE RESER",-23.044,115.812222
"CUMV_14700_Ct_scho","DLR0370","CU14700","CUMV_14700","SCHODLR0370","Ctenotus","schomburgkii","schomburgkii","Australia","WA","Lake Mason Stn, Western Australia",-27.586,119.5208
"WAMR_151655_Ct_scho","WAM_R151655","WAM151655","WAMR_151655","SCHOW151655","Ctenotus","schomburgkii","schomburgkii","Australia","WA","BINDOON",-31.195,116.307222
"CUMV_14681_Ct_scho","DLR0032","CU14681","CUMV_14681","SCHODLR0032","Ctenotus","schomburgkii","schomburgkii","Australia","WA","Lorna Glen Stn, Western Australia",-26.226,121.5575
"WAMR_102733_Ct_scho","WAM_R102733","WAM102733","WAMR_102733","SCHOW102733","Ctenotus","schomburgkii","schomburgkii","Australia","WA","LITTLE SANDY DESERT",-24.575,120.307778
"WAMR_157443_Ct_scho","WAM_R157443","WAM157443","WAMR_157443","SCHOW157443","Ctenotus","schomburgkii","schomburgkii","Australia","WA","TANAMI DESERT",-19.593,128.861111
"WAMR_100527_Ct_scho","WAM_R100527","WAM100527","WAMR_100527","SCHOW100527","Ctenotus","schomburgkii","schomburgkii","Australia","WA","MENZIES",-29.833,120.916667
"SAMAR_32255_Ct_scho","ABTC64297","SAMAR32255","SAMAR_32255",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","39k SW Halinor Lake",-29.44528,130.1744
"SAMAR_45530_Ct_scho","ABTC35116","SAMAR45530","SAMAR_45530",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","17k NNE Inila Rockwater",-31.62361,133.4514
"SAMAR_25378_Ct_scho","ABTC40577","SAMAR25378","SAMAR_25378",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","Ifould Camp  no.5 Colona",-30.8,132.1167
"SAMAR_26265_Ct_scho","ABTC40621","SAMAR26265","SAMAR_26265",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","near Border Village",-31.61389,129.1056
"WAMR_151241_Ct_scho","WAM_R151241","WAM151241","WAMR_151241","SCHOW151241","Ctenotus","schomburgkii","schomburgkii","Australia","WA","SALMON GUMS",-32.86,121.4
"WAMR_077870_Ct_scho","WAM_R077870","WAM077870","WAMR_077870","SCHOW077870","Ctenotus","schomburgkii","schomburgkii","Australia","WA","EYRE HS",-32.103,126.291667
"SAMR_65381_Ct_scho","ABTC113874","SAM65381","SAMR_65381",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","QLD","3.6k NNE Noonbah Homestead",-24.07556,143.1897
"NA_ABTC113798_Ct_scho","ABTC113798",NA,"QMJ_90756",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","QLD","3.4k NNE Noonbah Homestead",-24.08083,143.1983
"SAMAR_24578_Ct_scho","ABTC53659","SAMAR24578","SAMAR_24578",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","7k N King Lookout",-26.88333,140.6
"SAMAR_48325_Ct_scho","ABTC36606","SAMAR48325","SAMAR_48325",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","8k NE Wompinie",-32.01417,140.8422
"SAMAR_50062_Ct_scho","ABTC38011","SAMAR50062","SAMAR_50062",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","74k E Purni Bore",-26.32472,136.8394
"SAMAR_48354_Ct_scho","ABTC36652","SAMAR48354","SAMAR_48354",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","3k S Starvation Dam",-30.46306,140.9447
"SAMAR_46452_Ct_scho","ABTC35608","SAMAR46452","SAMAR_46452",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","3.3k NNE Strangways Springs",-29.13694,136.5664
"SAMAR_35050_Ct_scho","ABTC24010",NA,"SAMAR_35050",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","70k E Moomba",-28.28333,140.9
"NA_ABTC12623_Ct_scho","ABTC12623",NA,"no_voucher",NA,"Ctenotus","schomburgkii","cf. schomburgkii","Australia","NT","Kings Creek Station",-24.43333,131.8167
"SAMAR_46104_Ct_scho","ABTC41767","SAMAR46104","SAMAR_46104",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","21k ENE Pipalyatjara",-26.11806,129.3714
"SAMAR_62561_Ct_scho","ABTC96992","SAMAR62561","SAMAR_62561",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","26.4k SE Blowout Trig",-29.87778,133.6169
"SAMAR_41903_Ct_scho","ABTC33841","SAMAR41903","SAMAR_41903",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","Blue Hills Bore",-27.13083,132.8636
"SAMAR_60340_Ct_scho","ABTC87763","SAMAR60340","SAMAR_60340",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","152.7k W Oak Valley",-29.54111,129.1044
"SAMR_62172_Ct_scho","ABTC91670","SAM62172","SAMR_62172","SCHOA91670","Ctenotus","schomburgkii","schomburgkii","Australia","WA","Morgan Range",-25.9386,128.3897
"SAMR_62121_Ct_scho","ABTC91680","SAM62121","SAMR_62121","SCHOA91680","Ctenotus","schomburgkii","schomburgkii","Australia","WA","Morgan Range, 17.3k ENE Blackstone",-25.9325,128.4411
"SAMAR_59192_Ct_scho","ABTC93498","SAMAR59192","SAMAR_59192",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","11.2k NNW Mundoora",-33.49333,138.0769
