SAMPLE_ID,TISSUE_ID,REGO,VOUCHER,ALTERNATIVE_ID,GENUS,SPECIES,UPDATED_SP,REGION,LOCATION,STATE,LAT,LON,VoucherNotes
CUMV_14276_Er_rich,DLR0028,CU14276,CUMV_14276,NA,Eremiascincus,richardsonii,richardsonii,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14284_Er_fasc,DLR0458,CU14284,CUMV_14284,NA,Eremiascincus,fasciolatus,fasciolatus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14299_Le_macr,DLR0375,CU14299,CUMV_14299,MACRDLR0375,Lerista,macropisthopus,macropisthopus,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14300_Le_macr,DLR0404,CU14300,CUMV_14300,NA,Lerista,macropisthopus,macropisthopus,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14305_Ct_gran,DLR0249,CU14305,CUMV_14305,GRANDLR0249,Ctenotus,grandis,grandis,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14312_Ct_gran,DLR0611,CU14312,CUMV_14312,GRANDLR0611,Ctenotus,grandis,grandis,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14357_Ct_dux,DLR0123,CU14357,CUMV_14357,DUXDLR0123,Ctenotus,dux,dux,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14361_Ct_dux,DLR0124,CU14361,CUMV_14361,NA,Ctenotus,dux,dux,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14362_Ct_dux,DLR0125,CU14362,CUMV_14362,DUXDLR0125,Ctenotus,dux,dux,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14364_Ct_dux,DLR0452,CU14364,CUMV_14364,DUXDLR0452,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14365_Ct_dux,DLR0580,CU14365,CUMV_14365,DUXDLR0580,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14366_Ct_dux,DLR0582,CU14366,CUMV_14366,DUXDLR0582,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14367_Ct_dux,DLR0584,CU14367,CUMV_14367,DUXDLR0584,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14369_Ct_dux,DLR0617,CU14369,CUMV_14369,DUXDLR0617,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14370_Ct_dux,DLR0260,CU14370,CUMV_14370,DUXDLR0260,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14373_Ct_dux,DLR0450,CU14373,CUMV_14373,DUXDLR0450,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14374_Ct_dux,DLR0451,CU14374,CUMV_14374,NA,Ctenotus,dux,dux,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14377_Ct_gree,DLR0324,CU14377,CUMV_14377,GREEDLR0324,Ctenotus,greeri,greeri,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14378_Ct_gree,DLR0344,CU14378,CUMV_14378,NA,Ctenotus,greeri,greeri,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14379_Ct_uber,DLR0041,CU14379,CUMV_14379,UBERDLR0041,Ctenotus,uber,uber,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14408_Ct_broo,DLR0492,CU14408,CUMV_14408,BROODLR0492,Ctenotus,brooksi,brooksi,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14409_Ct_broo,DLR0455,CU14409,CUMV_14409,NA,Ctenotus,brooksi,brooksi,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14410_Ct_broo,DLR0479,CU14410,CUMV_14410,NA,Ctenotus,brooksi,brooksi,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14411_Ct_broo,DLR0503,CU14411,CUMV_14411,BROODLR0503,Ctenotus,brooksi,brooksi,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14412_Ct_broo,DLR0510,CU14412,CUMV_14412,NA,Ctenotus,brooksi,brooksi,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14423_Ct_pian,DLR0304,CU14423,CUMV_14423,PIANDLR0304,Ctenotus,piankai,piankai,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14430_Le_dese,DLR0329,CU14430,CUMV_14430,NA,Lerista,desertorum,desertorum,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14452_Le_bipe,DLR0316,CU14452,CUMV_14452,NA,Lerista,bipes,bipes,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14454_Le_bipe,DLR0334,CU14454,CUMV_14454,NA,Lerista,bipes,bipes,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14467_Ct_leae,DLR0271,CU14467,CUMV_14467,LEAEDLR0271,Ctenotus,leae,leae,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14468_Ct_leae,DLR0454,CU14468,CUMV_14468,LEAEDLR0454,Ctenotus,leae,leae,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14469_Ct_leae,DLR0528,CU14469,CUMV_14469,LEAEDLR0528,Ctenotus,leae,leae,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14470_Ct_leae,DLR0570,CU14470,CUMV_14470,LEAEDLR0570,Ctenotus,leae,leae,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14480_Le_bipe,DLR0237,CU14480,CUMV_14480,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14482_Le_bipe,DLR0031,CU14482,CUMV_14482,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14483_Le_bipe,DLR0040,CU14483,CUMV_14483,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14484_Le_bipe,DLR0057,CU14484,CUMV_14484,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14485_Le_bipe,DLR0102,CU14485,CUMV_14485,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14486_Le_bipe,DLR0103,CU14486,CUMV_14486,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14487_Le_bipe,DLR0140,CU14487,CUMV_14487,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14488_Le_bipe,DLR0145,CU14488,CUMV_14488,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14489_Le_bipe,DLR0152,CU14489,CUMV_14489,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14490_Le_bipe,DLR0165,CU14490,CUMV_14490,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14491_Le_bipe,DLR0167,CU14491,CUMV_14491,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14492_Le_bipe,DLR0178,CU14492,CUMV_14492,NA,Lerista,bipes,bipes,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14495_Ct_pant,DLR0056,CU14495,CUMV_14495,PANTDLR0056,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14496_Ct_pant,DLR0091,CU14496,CUMV_14496,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_1450314572_Ct_pant,DLR0122,CU14503_14572,CUMV_14503_14572,PANTDLR0122,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14509_Ct_pant,DLR0298,CU14509,CUMV_14509,PANTDLR0298,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14516_Ct_pant,DLR0481,CU14516,CUMV_14516,NA,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14517_Ct_pant,DLR0488,CU14517,CUMV_14517,NA,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14518_Ct_pant,DLR0523,CU14518,CUMV_14518,NA,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14525_Ct_pant,DLR0255,CU14525,CUMV_14525,PANTDLR0255,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14526_Ct_pant,DLR0273,CU14526,CUMV_14526,NA,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14527_Ct_pant,DLR0277,CU14527,CUMV_14527,PANTDLR0277,Ctenotus,pantherinus,pantherinus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14545_Ct_pant,DLR0214,CU14545,CUMV_14545,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14546_Ct_pant,DLR0220,CU14546,CUMV_14546,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14547_Ct_pant,DLR0225,CU14547,CUMV_14547,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14550_Ct_pant,DLR0009,CU14550,CUMV_14550,PANTDLR0009,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14551_Ct_pant,DLR0010,CU14551,CUMV_14551,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14552_Ct_pant,DLR0012,CU14552,CUMV_14552,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14558_Ct_pant,DLR0037,CU14558,CUMV_14558,PANTDLR0037,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14559_Ct_pant,DLR0087,CU14559,CUMV_14559,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14560_Ct_pant,DLR0088,CU14560,CUMV_14560,PANTDLR0088,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14561_Ct_pant,DLR0146,CU14561,CUMV_14561,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14563_Ct_pant,DLR0156,CU14563,CUMV_14563,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14565_Ct_pant,DLR0025,CU14565,CUMV_14565,PANTDLR0025,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14566_Ct_pant,DLR0092,CU14566,CUMV_14566,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14567_Ct_pant,DLR0094,CU14567,CUMV_14567,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14568_Ct_pant,DLR0095,CU14568,CUMV_14568,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14569_Ct_pant,DLR0096,CU14569,CUMV_14569,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
