"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"CUMV_14742_Ct_leon",0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_1",0.998901,"DLR0367","CU14742","CUMV_14742","LEONDLR0367","Ctenotus","leonhardii","leonhardii","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
"CUMV_14744_Ct_leon",0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_1",0.998901,"DLR0371","CU14744","CUMV_14744","LEONDLR0371","Ctenotus","leonhardii","leonhardii","Australia","Lake Mason Stn, Western Australia","WA",-27.586,119.5208,NA
"CUMV_14847_Ct_quat",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,"cluster_12",0.998901,"DLR0526","CU14847","CUMV_14847","QUATDLR0526","Ctenotus","quattuordecimlineatus","quattuordecimlineatus","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
"NA_ABTC10512_Ct_leae",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_8",0.998901,"ABTC10512",NA,"no_voucher",NA,"Ctenotus","leae","leae","Australia","Officer Basin","WA",-29.96667,123.7667,NA
"NA_ABTC113897_Ct_hebe",9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_3",0.998901,"ABTC113897",NA,"no_voucher",NA,"Ctenotus","hebetior","hebetior","Australia","5.3k SW Ballards tank, Plevna Downs","QLD",-26.76278,142.5239,NA
"NA_ABTC86833_Ct_regi",9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,0.998901,9.99038e-05,9.99038e-05,"cluster_10",0.998901,"ABTC86833","No voucher","no_voucher",NA,"Ctenotus","regius","regius","Australia","Nowingi","VIC",-34.58333,142.2167,NA
"NA_CCM1955_Ct_leon",0.563181,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,0.435819,9.99124e-05,"cluster_1",0.563181,"CCM1955",NA,NA,NA,"Ctenotus","leonhardii","leonhardii","Australia","Barrow Creek","NT",-21.53197,133.88919,NA
"NTMR_13629_Ct_gree",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_9",0.998901,"ABTC61693","NTM13629","NTMR_13629","GREEA61693","Ctenotus","greeri","greeri","Australia","Elliot","NT",-17.617,133.517,NA
"NTMR_25649_Ct_leon",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,"cluster_11",0.998901,"ABTC70645","NTM25649","NTMR_25649","LEONA70645","Ctenotus","leonhardii","leonhardii","Australia","Stuart Highway; Kulgera","NT",-25.845,133.310556,NA
"QMJ_62373_Ct_asta",9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_4",0.998901,"ABTC32189","QMJ62373","QMJ_62373",NA,"Ctenotus","astarte","astarte","Australia","Morney Station Dump","QLD",-25.36667,141.4667,NA
"SAMAR_24688_Ct_leae",9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,"cluster_8",0.998901,"ABTC53671","SAMAR24688","SAMAR_24688",NA,"Ctenotus","leae","leae","Australia","13k SSW Merty Merty HS","SA",-28.66667,140.2167,NA
"SAMAR_25645_Ct_orie",9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_2",0.998901,"ABTC40781","SAMAR25645","SAMAR_25645",NA,"Ctenotus","orientalis","orientalis","Australia","near Colona Station","SA",-31.53333,132.2667,NA
"SAMAR_28517_Ct_olym",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_7",0.998901,"ABTC53757","SAMAR28517","SAMAR_28517",NA,"Ctenotus","olympicus","olympicus","Australia","115-120k NE Minnipa","SA",-32.33333,136.2833,NA
"SAMAR_29853_Ct_leae",9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,0.998901,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,"cluster_8",0.998901,"ABTC4196",NA,"SAMAR_29853",NA,"Ctenotus","leae","leae","Australia","Curtin Springs","NT",-25.5,131.8167,NA
"SAMAR_31877_Ct_regi",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,"cluster_10",0.998901,"ABTC64062","SAMAR31877","SAMAR_31877",NA,"Ctenotus","regius","regius","Australia","2k E Mt Finke","SA",-30.92389,134.0303,NA
"SAMAR_31889_Ct_leae",9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_8",0.998901,"ABTC64052","SAMAR31889","SAMAR_31889",NA,"Ctenotus","leae","leae","Australia","9.2k NE Mt Finke","SA",-30.89278,134.1,NA
"SAMAR_32054_Ct_leae",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_8",0.998901,"ABTC64144","SAMAR32054","SAMAR_32054",NA,"Ctenotus","leae","leae","Australia","5.5k S Immarna Siding","SA",-30.55194,132.145,NA
"SAMAR_32289_Ct_regi",9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,"cluster_10",0.998901,"ABTC64325","SAMAR32289","SAMAR_32289",NA,"Ctenotus","regius","regius","Australia","29k N Muckera RH","SA",-29.85972,130.1022,NA
