"cluster_1","cluster_2","cluster_3","cluster_4","ID"
9.998e-05,9.998e-05,9.998e-05,0.9997,"CUMV_14845_Ct_calu"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM0750_Ct_haly"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM0751_Ct_haly"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM0804_Ct_haly"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM0816_Ct_haly"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM0817_Ct_haly"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM0820_Ct_haly"
0.9997,9.998e-05,9.998e-05,9.998e-05,"NA_CCM1006_Ct_ehma"
0.9997,9.998e-05,9.998e-05,9.998e-05,"NA_CCM1013_Ct_ehma"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM1424_Ct_ehma"
9.998e-05,0.9997,9.998e-05,9.998e-05,"NA_CCM1425_Ct_ehma"
9.998e-05,9.998e-05,0.9997,9.998e-05,"NA_CCM4743_Ct_vert"
9.998e-05,9.998e-05,0.9997,9.998e-05,"NA_CCM4823_Ct_stor"
9.998e-05,9.998e-05,0.9997,9.998e-05,"NA_CCM4824_Ct_stor"
9.998e-05,9.998e-05,9.998e-05,0.9997,"WAMR_102658_Ct_nasu"
9.99822e-05,0.0160951,9.99822e-05,0.983705,"WAMR_139414_Ct_nigr"
9.998e-05,9.998e-05,9.998e-05,0.9997,"WAMR_157327_Ct_rufe"
