"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","ID"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"AMSR_111496_Ct_essi"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM1971_Ct_vert"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"NA_CCM2279_Ct_essi"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"NA_CCM2281_Ct_cogg"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"NA_CCM2294_Ct_essi"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM2315_Ct_vert"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"NA_CCM2339_Ct_essi"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM2343_Ct_vert"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM2519_Ct_vert"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM2549_Ct_vert"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"NA_CCM2556_Ct_cogg"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM3915_Ct_vert"
9.99741e-05,9.99741e-05,9.99741e-05,0.935728,0.0639716,"NA_CCM3982_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_CCM4853_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NA_CCM5043_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NA_CCM5044_Ct_essi"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM5466_Ct_vert"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_CCM6122_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_CCM6150_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NA_K021_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NA_K073_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_NEB008_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NTMR_13717_Ct_essi"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NTMR_16195_Ct_vert"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NTMR_22188_Ct_essi"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NTMR_22191_Ct_essi"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"SAMAR_34260_Ct_joan"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"SAMAR_36710_Ct_essi"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"SAMAR_43945_Ct_joan"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"SAMAR_54020_Ct_joan"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"SAMR_54024_Ct_joan"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"SAMR_55275_Ct_joan"
