"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"NA_CCM0823_Ct_robu",9.99347e-05,9.99347e-05,9.99347e-05,9.99347e-05,9.99347e-05,9.99347e-05,9.99347e-05,9.99347e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","mastigura","Australia","Carson escarpment - TD1","WA",-15.3383,126.5917,NA
"NA_CCM0830_Ct_inor",9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","Carson escarpment - near camp","WA",-15.3394,126.5893,NA
"NA_CCM0847_Ct_robu",9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","mastigura","Australia","Old Mitchell - Q5","WA",-15.1328,126.1478,NA
"NA_CCM0848_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,9.9934e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","inornatus","Australia","Spring Creek - SS2","WA",-15.2002,125.9067,NA
"NA_CCM0849_Ct_inor",9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","Spring Creek - SS2","WA",-15.2002,125.9067,NA
"NA_CCM0850_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","Spring Creek - SS1","WA",-15.1989,125.9035,NA
"NA_CCM0946_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","King Ed Riv Theda, campsite, 30km N of Homestead","WA",-14.51903,126.45811,NA
"NA_CCM0956_Ct_robu",9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"cluster_3",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","robustus","Australia","Baitbox Hill, Theda, site 2, 10km N of HS","WA",-14.75187,126.47722,NA
"NA_CCM0980_Ct_mast",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","mastigura","mastigura","Australia","Baitbox Hill, Theda, site 3, 10km N of HS","WA",-14.74225,126.46691,NA
"NA_CCM1061_Ct_sp",9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","sp","mastigura","Australia","Gibb River Camp","WA",-16.0969,126.5112,NA
"NA_CCM1206_Ct_robu",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","mastigura","Australia","Mitchell Plateau  Surveyors Pool","WA",-14.671,125.733,NA
"NA_CCM1249_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,9.9934e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","inornatus","Australia","Silent Grove ranger station","WA",-17.06662,125.2501,NA
"NA_CCM1388_Ct_robu",9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_3",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","robustus","Australia","Potts riparian","WA",-16.4927,125.3447,NA
"NA_CCM1389_Ct_robu",9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"cluster_3",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","robustus","Australia","Potts Black soil","WA",-16.4668,125.3723,NA
"NA_CCM1390_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","Grevillea gorge","WA",-16.49954,125.33637,NA
"NA_CCM1409_Ct_robu",9.99335e-05,9.99335e-05,0.999201,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,"cluster_3",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","robustus","Australia","Potts Black soil","WA",-16.4668,125.3723,NA
"NA_CCM1412_Ct_robu",9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"cluster_3",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","robustus","Australia","Potts riparian","WA",-16.494,125.3417,NA
"NA_CCM1415_Ct_robu",9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"cluster_3",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","robustus","Australia","Potts riparian campsite","WA",-16.4894,125.3518,NA
"NA_CCM1444_Ct_inor",9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","inornatus","Australia","Chamberlain valley woodland","WA",-17.2932,127.2175,NA
"NA_CCM1445_Ct_inor",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","inornatus","Australia","Chamberlain valley riparian","WA",-17.2923,127.172,NA
"NA_CCM1529_Ct_inor",9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","Hahn River rocks","WA",-16.81627,126.07679,NA
"NA_CCM1530_Ct_robu",9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","robustus","inornatus","Australia","Police Valley site","WA",-16.82743,126.21642,NA
"NA_CCM1579_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"cluster_9",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","mastigura","Australia","Barnett River Gorge","WA",-16.53559,126.12857,NA
"NA_CCM1580_Ct_inor",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","inornatus","Australia","Police valley camp","WA",-16.83117,126.22814,NA
"NA_CCM1710_Ct_inor",9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,9.9934e-05,"cluster_8",0.999201,NA,NA,"no_voucher",NA,"Ctenotus","inornatus","inornatus","Australia","Willeroo station tip","NT",-15.29606,131.58511,NA
"NA_CCM2292_Ct_inor",0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"cluster_1",0.999201,"CCM2292",NA,NA,NA,"Ctenotus","inornatus","superciliaris","Australia","Kakadu fire plot 27","NT",-13.94278,132.90286,NA
"NA_CCM2497_Ct_spal",9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,"cluster_7",0.999201,"CCM2497",NA,NA,NA,"Ctenotus","spaldingi","spaldingi","Australia","Kakadu fire plot 133B","NT",-13.74413,132.62437,NA
"NA_CCM2518_Ct_vert",0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_1",0.999201,"CCM2518",NA,NA,NA,"Ctenotus","vertebralis","superciliaris","Australia","Kakadu fire plot 26","NT",-13.3518,132.47234,NA
"NA_CCM2565_Ct_vert",0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"cluster_1",0.999201,"CCM2565",NA,NA,NA,"Ctenotus","vertebralis","superciliaris","Australia","Kakadu fire plot 126","NT",-12.99761,132.93274,NA
"NA_CCM2866_Ct_robu",9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_3",0.999201,"CCM2866",NA,NA,NA,"Ctenotus","robustus","robustus","Australia","Bluebush SV08 Mornington","WA",-17.55431,126.16461,NA
"NA_CCM3869_Ct_inor",0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"cluster_1",0.999201,"CCM3869",NA,NA,NA,"Ctenotus","inornatus","superciliaris","Australia","Ngangkan","NT",-12.553874,134.028979,NA
"NA_CCM4920_Ct_essi",9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,"cluster_8",0.999201,NA,"CCM4920",NA,NA,"Ctenotus","essingtonii","inornatus","Australia","Edith Falls campsite, Nitmaluk NP",NA,-14.17983,132.18614,NA
"NA_CCM5477_Ct_vert",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"cluster_7",0.999201,NA,"CCM5477",NA,NA,"Ctenotus","vertebralis","spaldingi","Australia","Site 14 elliott trap, Nitmiluk NP",NA,-14.032029,132.306935,NA
"NTMR_13838_Ct_bore",9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"cluster_3",0.999201,"ABTC28390","NTM13838","NTMR_13838","BOREA28390","Ctenotus","robustus","robustus","Australia","Kakadu NP","NT",-13.03,132.43,NA
"NTMR_17739_Ct_bore",9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_3",0.999201,"ABTC29191","NTMR17739","NTMR_17739",NA,"Ctenotus","borealis","robustus","Australia","Casuarina Coastal Reserve","NT",-12.37,130.85,NA
"NTMR_18323_Ct_robu",9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_3",0.999201,"ABTC30302","NTMR18323","NTMR_18323",NA,"Ctenotus","robustus","robustus","Australia","Willeroo","NT",-15.16083,131.6692,NA
"NTMR_20378_Ct_robu",9.99342e-05,9.99342e-05,0.999201,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,"cluster_3",0.999201,"ABTC29172","NTM20378","NTMR_20378","ROBUA29172","Ctenotus","robustus","robustus","Australia","Fogg Dam","NT",-12.55,131.3,NA
"NTMR_21670_Ct_spal",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"cluster_7",0.999201,"ABTC29600","NTMR21670","NTMR_21670",NA,"Ctenotus","spaldingi","spaldingi","Australia","10k N Larrimah","NT",-15.533,133.183,NA
"NTMR_22166_Ct_robu",9.99343e-05,9.99343e-05,0.999201,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,"cluster_3",0.999201,"ABTC29697","NTMR22166","NTMR_22166",NA,"Ctenotus","robustus","robustus","Australia","Litchfield NP","NT",-13.26472,130.9633,NA
"NTMR_22298_Ct_spal",9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,0.999201,9.99335e-05,9.99335e-05,"cluster_7",0.999201,"ABTC30415","NTMR22298","NTMR_22298",NA,"Ctenotus","spaldingi","spaldingi","Australia","Limmen Gate NP","NT",-15.48333,135.4122,NA
"NTMR_22299_Ct_spal",9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,"cluster_7",0.999201,"ABTC30414","NTMR22299","NTMR_22299",NA,"Ctenotus","spaldingi","spaldingi","Australia","7k N Nathan River Station, Limmen Gate NP","NT",-15.53306,135.4081,NA
"NTMR_22325_Ct_spal",9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,"cluster_7",0.999201,"ABTC30410","NTMR22325","NTMR_22325",NA,"Ctenotus","spaldingi","spaldingi","Australia","Tawallah Creek Limmen Gate NP","NT",-16.01583,135.6669,NA
"NTMR_22620_Ct_robu",9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"cluster_3",0.999201,"ABTC29870","NTMR22620","NTMR_22620",NA,"Ctenotus","robustus","robustus","Australia","Long Billabong Roper River","NT",-15.30667,135.3408,NA
"NTMR_22621_Ct_spal",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"cluster_7",0.999201,"ABTC29871","NTMR22621","NTMR_22621",NA,"Ctenotus","spaldingi","spaldingi","Australia","Long Billabong Roper River","NT",-15.30667,135.3408,NA
"NTMR_22622_Ct_spal",9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,"cluster_7",0.999201,"ABTC29872","NTMR22622","NTMR_22622",NA,"Ctenotus","spaldingi","spaldingi","Australia","Long Billabong Roper River","NT",-15.30667,135.3408,NA
"NTMR_23004_Ct_bore",9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"cluster_3",0.999201,"ABTC30072","NTMR23004","NTMR_23004",NA,"Ctenotus","borealis","robustus","Australia","creek SW Pickertaramoor","NT",-11.78222,130.7744,NA
"NTMR_23960_Ct_robu",9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"cluster_3",0.999201,"ABTC30705","NTMR23960","NTMR_23960",NA,"Ctenotus","robustus","robustus","Australia","Ramingining area Arafura Swamp","NT",-12.2175,134.9847,NA
"NTMR_25983_Ct_spal",9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"cluster_4",0.999201,"ABTC70692","NTMR25983","NTMR_25983",NA,"Ctenotus","spaldingi","superciliaris","Australia","Jasper Gorge, Gregory National Park","NT",-16.03778,130.79,NA
"SAMAR_34180_Ct_bore",0.999201,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,"cluster_1",0.999201,"ABTC11881","SAMAR34180","SAMAR_34180",NA,"Ctenotus","borealis","superciliaris","Australia","Tanumbirini Station","NT",-16.45,134.6167,NA
"SAMAR_34202_Ct_spal",9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,"cluster_7",0.999201,"ABTC11919","SAMAR34202","SAMAR_34202",NA,"Ctenotus","spaldingi","spaldingi","Australia","Westmoreland Station","QLD",-17.33333,138.25,NA
"SAMAR_34261_Ct_late",9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_5",0.999201,"ABTC11988",NA,"SAMAR_34261",NA,"Ctenotus","lateralis","lateralis","Australia","6k E Camooweel","QLD",-19.91667,138.1667,NA
"SAMAR_42687_Ct_late",9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"cluster_5",0.999201,"ABTC8937",NA,"SAMAR_42687",NA,"Ctenotus","lateralis","lateralis","Australia","7k NE Mt Isa Telecom Repeator Station","QLD",-20.71667,139.55,NA
"SAMAR_42768_Ct_late",9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"cluster_5",0.999201,"ABTC9010",NA,"SAMAR_42768",NA,"Ctenotus","lateralis","lateralis","Australia","GLEN KYREE Station  S WINTON","QLD",-22.96667,142.9,NA
"SAMAR_51093_Ct_spal",9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,"cluster_7",0.999201,"ABTC13415","SAMAR51093","SAMAR_51093",NA,"Ctenotus","spaldingi","spaldingi","Australia","2k S Elliott","NT",-17.56667,133.5333,NA
"SAMAR_54433_Ct_late",9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"cluster_5",0.999201,"ABTC72838","SAMAR54433","SAMAR_54433",NA,"Ctenotus","lateralis","lateralis","Australia","21k S Burke & Wills RH","QLD",-19.39472,140.2367,NA
"SAMAR_54463_Ct_late",9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_5",0.999201,"ABTC72875","SAMAR54463","SAMAR_54463",NA,"Ctenotus","lateralis","lateralis","Australia","Burke & Wills RH Dump","QLD",-19.22639,140.3481,NA
"SAMAR_54485_Ct_spal",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"cluster_7",0.999201,"ABTC72903","SAMAR54485","SAMAR_54485",NA,"Ctenotus","spaldingi","spaldingi","Australia","22k S Torrens Creek","QLD",-20.98583,145.0317,NA
"SAMAR_55259_Ct_late",9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"cluster_5",0.999201,"ABTC82415","SAMAR55259","SAMAR_55259",NA,"Ctenotus","lateralis","lateralis","Australia","Phosphate Hill  Bloodwood site","QLD",-21.91306,140.0217,NA
"SAMAR_55675_Ct_spal",9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,0.999201,9.99342e-05,9.99342e-05,"cluster_7",0.999201,"ABTC76994","SAMAR55675","SAMAR_55675",NA,"Ctenotus","spaldingi","spaldingi","Australia","~40k S Torrens Creek on Torrens Creek-Aramac Road","QLD",-21.09167,145.0044,NA
"SAMAR_55799_Ct_late",9.99425e-05,0.220315,9.99425e-05,9.99425e-05,0.778985,9.99425e-05,9.99425e-05,9.99425e-05,9.99425e-05,"cluster_5",0.778985,"ABTC77111","SAMAR55799","SAMAR_55799",NA,"Ctenotus","lateralis","lateralis","Australia","35k E Mt Surprise on Gulf Developmental Road","QLD",-18.12833,144.6328,NA
"SAMR_21493_Ct_robu",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"cluster_6",0.999201,"ABTC53607","SAM21493","SAMR_21493","ROBUA53607","Ctenotus","robustus","spaldingi","Australia","Coorong NP","SA",-35.567,138.966667,NA
"SAMR_28536_Ct_robu",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"cluster_6",0.999201,"ABTC53759","SAM28536","SAMR_28536","ROBUA53759","Ctenotus","robustus","spaldingi","Australia","Fresh Wells 67k NW Iron Knob","SA",-32.4,136.533333,NA
"SAMR_29707_Ct_brac",9.99429e-05,0.940111,9.99429e-05,9.99429e-05,0.0591893,9.99429e-05,9.99429e-05,9.99429e-05,9.99429e-05,"cluster_2",0.940111,"ABTC53772","SAM29707","SAMR_29707","BRACA53772","Ctenotus","brachyonyx","inornatus","Australia","Danggali CP","SA",-33.2,140.916667,NA
"SAMR_32932_Ct_robu",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"cluster_6",0.999201,"ABTC14912","SAM32932","SAMR_32932","ROBUA14912","Ctenotus","robustus","spaldingi","Australia","16km W Penola","SA",-37.367,140.65,NA
