"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","ID"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"SAMR_42708_Ct_pulc"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"SAMR_42772_Ct_pulc"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,"SAMR_43844_Ct_quat"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,"SAMR_44403_Ct_quat"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,"SAMR_46944_Ct_leon"
9.99126e-05,9.99126e-05,9.99126e-05,9.99126e-05,9.99126e-05,9.99126e-05,0.00534911,9.99126e-05,9.99126e-05,0.993652,9.99126e-05,9.99126e-05,"SAMR_47236_Ct_regi"
9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,"SAMR_48330_Ct_regi"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,"SAMR_48771_Ct_gree"
9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,"SAMR_48772_Ct_quat"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"SAMR_48964_Ct_olym"
