"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","ID"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,"NA_CCM1061_Ct_sp"
9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"NA_CCM1206_Ct_robu"
9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,9.9934e-05,"NA_CCM1249_Ct_inor"
9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"NA_CCM1388_Ct_robu"
9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,"NA_CCM1389_Ct_robu"
9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"NA_CCM1390_Ct_inor"
9.99335e-05,9.99335e-05,0.999201,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,"NA_CCM1409_Ct_robu"
9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"NA_CCM1412_Ct_robu"
9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"NA_CCM1415_Ct_robu"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,"NA_CCM1444_Ct_inor"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,"NA_CCM1445_Ct_inor"
