"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","ID"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,"CUMV_14742_Ct_leon"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,"CUMV_14744_Ct_leon"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"CUMV_14847_Ct_quat"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"NA_ABTC10512_Ct_leae"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,"NA_ABTC113897_Ct_hebe"
9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,0.975878,9.99208e-05,9.99208e-05,0.0232227,"NA_ABTC86833_Ct_regi"
0.438256,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,0.560844,9.99207e-05,"NA_CCM1955_Ct_leon"
9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,0.998364,9.99208e-05,0.000736508,9.99208e-05,9.99208e-05,9.99208e-05,"NTMR_13629_Ct_gree"
0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"NTMR_25649_Ct_leon"
9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"QMJ_62373_Ct_asta"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_24688_Ct_leae"
9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_25645_Ct_orie"
9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_28517_Ct_olym"
9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,0.999001,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,"SAMAR_29853_Ct_leae"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_31877_Ct_regi"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_31889_Ct_leae"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_32054_Ct_leae"
9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,0.999001,9.9912e-05,9.9912e-05,9.9912e-05,"SAMAR_32289_Ct_regi"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_36086_Ct_leae"
9.9912e-05,0.999001,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,"SAMAR_38335_Ct_orie"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_38585_Ct_leae"
9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_39580_Ct_orie"
9.99116e-05,9.99116e-05,9.99116e-05,9.99116e-05,9.99116e-05,9.99116e-05,9.99116e-05,0.999001,9.99116e-05,9.99116e-05,9.99116e-05,"SAMAR_40597_Ct_regi"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_40799_Ct_leae"
9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,0.999001,9.99101e-05,9.99101e-05,9.99101e-05,"SAMAR_40888_Ct_regi"
9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_41282_Ct_olym"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_42675_Ct_pulc"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_42701_Ct_pulc"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_42708_Ct_pulc"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,"SAMAR_42776_Ct_hebe"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,"SAMAR_42788_Ct_hebe"
9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_42823_Ct_asta"
9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_42840_Ct_asta"
9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_42843_Ct_asta"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,"SAMAR_42880_Ct_hebe"
