"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","ID"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"AMR_123129_Ct_zast"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"CUMV_14305_Ct_gran"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"CUMV_14312_Ct_gran"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14357_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14361_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14362_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14366_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14367_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14370_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14373_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14374_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"CUMV_14812_Ct_aria"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"CUMV_14817_Ct_quat"
0.029538,9.9965e-05,9.9965e-05,0.0141987,9.9965e-05,9.9965e-05,0.0720958,0.883768,"CUMV_14820_Ct_quat"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"QMJ_62380_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMAR_29946_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"SAMAR_35025_Ct_aria"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"SAMAR_38117_Ct_aria"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"SAMAR_45960_Ct_aria"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMAR_48573_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMAR_57212_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"SAMR_31899_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"SAMR_32080_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"SAMR_32256_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_36098_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"SAMR_37942_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_42034_Ct_dux"
9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_45385_Ct_pian"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_45608_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_46165_Ct_dux"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_48698_Ct_gran"
9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_48807_Ct_pian"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"SAMR_48821_Ct_gran"
9.99563e-05,9.99563e-05,9.99563e-05,0.00592717,9.99563e-05,0.0116162,9.99563e-05,0.981957,"SAMR_55208_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_56476_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"SAMR_57397_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"SAMR_60360_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"SAMR_62379_Ct_dux"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"UMMZ_242608_Ct_gran"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"UMMZ_242609_Ct_gran"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"UMMZ_242613_Ct_gran"
9.99475e-05,0.9061,9.99475e-05,9.99475e-05,9.99475e-05,0.0933007,9.99475e-05,9.99475e-05,"UMMZ_242644_Ct_pian"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"UMMZ_242654_Ct_zast"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"UMMZ_242655_Ct_zast"
9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_099165_Ct_duri"
0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_102159_Ct_duri"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_102472_Ct_hele"
0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_102494_Ct_duri"
0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_110222_Ct_duri"
0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_111584_Ct_duri"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"WAMR_113416_Ct_atla"
9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"WAMR_119955_Ct_pian"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"WAMR_126428_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"WAMR_135218_Ct_atla"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"WAMR_135237_Ct_atla"
