"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"NTMR_14947_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC14658",NA,"NTMR_14947",NA,"Ctenotus","calurus","calurus","Australia","Sangster's Bore  Tanami desert","NT",-20.867,130.267,NA
"QMJ_74401_Ct_zebr",0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_1",0.9993,"ABTC72938","QMJ74401","QMJ_74401",NA,"Ctenotus","zebrilla","zebrilla","Australia","Porcupine Creek  27k N Porcupine Creek campground","QLD",-20.16389,144.5183,NA
"SAMAR_24578_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC53659","SAMAR24578","SAMAR_24578",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","7k N King Lookout","SA",-26.88333,140.6,NA
"SAMAR_25378_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"ABTC40577","SAMAR25378","SAMAR_25378",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","Ifould Camp  no.5 Colona","SA",-30.8,132.1167,NA
"SAMAR_25688_Ct_eucl",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC40740","SAMAR25688","SAMAR_25688",NA,"Ctenotus","euclae","euclae","Australia","near Yalata Roadhouse","SA",-31.49222,131.2667,NA
"SAMAR_26237_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC53712","SAMAR26237","SAMAR_26237",NA,"Ctenotus","brooksi","brooksi","Australia","10k N Lake Phillipson","SA",-29.35833,134.4667,NA
"SAMAR_26265_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"ABTC40621","SAMAR26265","SAMAR_26265",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","near Border Village","SA",-31.61389,129.1056,NA
"SAMAR_29939_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC4259",NA,"SAMAR_29939",NA,"Ctenotus","brooksi","brooksi","Australia","Curtin Springs","NT",-25.5,131.8167,NA
"SAMAR_32029_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC64116","SAMAR32029","SAMAR_32029",NA,"Ctenotus","brooksi","brooksi","Australia","Immarna Siding","SA",-30.58556,132.2392,NA
"SAMAR_32255_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"ABTC64297","SAMAR32255","SAMAR_32255",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","39k SW Halinor Lake","SA",-29.44528,130.1744,NA
"SAMAR_34780_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC16689",NA,"SAMAR_34780",NA,"Ctenotus","strauchii","strauchii","Australia","Lake Eyre","SA",-31.63333,137.6167,NA
"SAMAR_35050_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC24010",NA,"SAMAR_35050",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","70k E Moomba","SA",-28.28333,140.9,NA
"SAMAR_36034_Ct_taen",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC17040",NA,"SAMAR_36034",NA,"Ctenotus","taeniatus","taeniatus","Australia","Lake Palankarinna","SA",-28.75,138.4667,NA
