"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMR_54494_Ct_zebr",0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_1",0.9993,"ABTC72908","SAM54494","SAMR_54494","ZEBRA72908","Ctenotus","zebrilla","zebrilla","Australia","15k N Porcupine Creek Campground","QLD",-20.253,144.4656,NA
"SAMR_54511_Ct_zebr",0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_1",0.9993,"ABTC72937","SAM54511","SAMR_54511","ZEBRA72937","Ctenotus","zebrilla","zebrilla","Australia","Porcupine Creek, 27k N Porcupine Creek campground","QLD",-20.164,144.5183,NA
"SAMR_55734_Ct_stra",0.0268484,9.99479e-05,9.99479e-05,0.972552,9.99479e-05,9.99479e-05,9.99479e-05,9.99479e-05,"cluster_4",0.972552,"ABTC77050","SAM55734","SAMR_55734",NA,"Ctenotus","strauchii","strauchii","Australia","19k S Julia Creek on Julia Creek-Kynuna Road","QLD",-20.824,141.7464,NA
"SAMR_62029_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC91579","SAM62029","SAMR_62029","CALUA91579","Ctenotus","calurus","calurus","Australia","3.2k N Pungkulpirri Waterhole, Walter James Range","WA",-24.6286,128.7556,NA
"SAMR_62121_Ct_scho",9.99567e-05,0.0125826,9.99567e-05,9.99567e-05,9.99567e-05,0.00573855,0.981179,9.99567e-05,"cluster_7",0.981179,"ABTC91680","SAM62121","SAMR_62121","SCHOA91680","Ctenotus","schomburgkii","schomburgkii","Australia","Morgan Range, 17.3k ENE Blackstone","WA",-25.9325,128.4411,NA
"SAMR_65381_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC113874","SAM65381","SAMR_65381",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","3.6k NNE Noonbah Homestead","QLD",-24.07556,143.1897,NA
"UMMZ_242648_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"UMFS_20665",NA,"UMMZ_242648",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","Hamelin Station","WA",-26.4725,114.25648,NA
"WAMR_077870_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"WAM_R077870","WAM077870","WAMR_077870","SCHOW077870","Ctenotus","schomburgkii","schomburgkii","Australia","EYRE HS","WA",-32.103,126.291667,NA
"WAMR_100527_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"WAM_R100527","WAM100527","WAMR_100527","SCHOW100527","Ctenotus","schomburgkii","schomburgkii","Australia","MENZIES","WA",-29.833,120.916667,NA
"WAMR_102261_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"WAM_R102261","WAM102261","WAMR_102261","SCHOW102261","Ctenotus","schomburgkii","schomburgkii","Australia","BARLEE RANGE NATURE RESER","WA",-23.044,115.812222,NA
"WAMR_151241_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"WAM_R151241","WAM151241","WAMR_151241","SCHOW151241","Ctenotus","schomburgkii","schomburgkii","Australia","SALMON GUMS","WA",-32.86,121.4,NA
"WAMR_151655_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"WAM_R151655","WAM151655","WAMR_151655","SCHOW151655","Ctenotus","schomburgkii","schomburgkii","Australia","BINDOON","WA",-31.195,116.307222,NA
"WAMR_166440_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC91777","WAM166440","WAMR_166440",NA,"Ctenotus","calurus","calurus","Australia","18.3k ENE Blackstone","WA",-25.9308,128.4494,NA
