"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","ID"
0.106787,0.0326382,0.0488532,0.778406,0.0333155,"SAMR_48698_Ct_gran"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"SAMR_48807_Ct_pian"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"SAMR_48821_Ct_gran"
0.00903215,9.99736e-05,9.99736e-05,9.99736e-05,0.990668,"SAMR_55208_Ct_atla"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"SAMR_56476_Ct_dux"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"SAMR_57397_Ct_atla"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"SAMR_60360_Ct_atla"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"SAMR_62379_Ct_dux"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"UMMZ_242608_Ct_gran"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"UMMZ_242609_Ct_gran"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"UMMZ_242613_Ct_gran"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"UMMZ_242644_Ct_pian"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"UMMZ_242654_Ct_zast"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"UMMZ_242655_Ct_zast"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_099165_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_102159_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_102472_Ct_hele"
0.0498092,0.000308969,0.0734794,0.813418,0.0629842,"WAMR_102494_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_110222_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_111584_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_113416_Ct_atla"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"WAMR_119955_Ct_pian"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_126428_Ct_atla"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"WAMR_135218_Ct_atla"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"WAMR_135237_Ct_atla"
9.99736e-05,9.99736e-05,0.0032106,9.99736e-05,0.996489,"WAMR_136457_Ct_atla"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"WAMR_139394_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_140983_Ct_mary"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"WAMR_141296_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_157067_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_157583_Ct_hanl"
0.102507,0.00372431,0.089584,0.767445,0.0367399,"WAMR_158428_Ct_mary"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"WAMR_160095_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_161462_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_162334_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_166441_Ct_dux"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_166456_Ct_pian"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_170467_Ct_duri"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"WAMR_170880_Ct_duri"
