"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","ID"
9.99436e-05,9.99436e-05,9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"CUMV_14591_Ct_hele"
9.99443e-05,9.99443e-05,9.99443e-05,0.9993,9.99443e-05,9.99443e-05,9.99443e-05,9.99443e-05,"CUMV_14596_Ct_hele"
9.99437e-05,9.99437e-05,9.99437e-05,0.9993,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,"CUMV_14601_Ct_hele"
9.99438e-05,9.99438e-05,9.99438e-05,0.9993,9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,"CUMV_14602_Ct_hele"
9.99439e-05,9.99439e-05,9.99439e-05,0.9993,9.99439e-05,9.99439e-05,9.99439e-05,9.99439e-05,"CUMV_14604_Ct_hele"
9.9944e-05,9.9944e-05,9.9944e-05,0.9993,9.9944e-05,9.9944e-05,9.9944e-05,9.9944e-05,"CUMV_14606_Ct_hele"
9.99437e-05,9.99437e-05,9.99437e-05,0.9993,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,"CUMV_14611_Ct_hele"
9.99435e-05,9.99435e-05,9.99435e-05,0.9993,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,"CUMV_14612_Ct_hele"
9.99441e-05,9.99441e-05,9.99441e-05,0.9993,9.99441e-05,9.99441e-05,9.99441e-05,9.99441e-05,"CUMV_14656_Ct_hele"
9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,0.9993,9.99432e-05,9.99432e-05,"NA_ABTC113741_Ct_saxa"
9.99436e-05,9.99436e-05,9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_ABTC31797_Ct_saxa"
9.99521e-05,9.99521e-05,9.99521e-05,0.971436,9.99521e-05,9.99521e-05,9.99521e-05,0.0279639,"NA_ABTC60781_Ct_hele"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"NA_ABTC61569_Ct_robu"
9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,0.9993,9.99437e-05,9.99437e-05,"NA_CCM0090_Ct_late"
9.99442e-05,9.99442e-05,9.99442e-05,9.99442e-05,0.9993,9.99442e-05,9.99442e-05,9.99442e-05,"NA_CCM0535_Ct_inor"
9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_CCM0753_Ct_robu"
9.99438e-05,0.9993,9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,"NA_CCM0823_Ct_robu"
9.99435e-05,0.9993,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,"NA_CCM0830_Ct_inor"
9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_CCM0847_Ct_robu"
9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,0.9993,"NA_CCM0848_Ct_inor"
9.9944e-05,0.9993,9.9944e-05,9.9944e-05,9.9944e-05,9.9944e-05,9.9944e-05,9.9944e-05,"NA_CCM0849_Ct_inor"
9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_CCM0850_Ct_inor"
9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_CCM0946_Ct_inor"
9.99434e-05,9.99434e-05,0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"NA_CCM0956_Ct_robu"
9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_CCM0980_Ct_mast"
9.99434e-05,0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"NA_CCM1061_Ct_sp"
9.99437e-05,0.9993,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,"NA_CCM1206_Ct_robu"
9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,0.9993,"NA_CCM1249_Ct_inor"
9.99435e-05,9.99435e-05,0.9993,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,"NA_CCM1388_Ct_robu"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"NA_CCM1389_Ct_robu"
9.99437e-05,0.9993,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,"NA_CCM1390_Ct_inor"
9.99432e-05,9.99432e-05,0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NA_CCM1409_Ct_robu"
9.99432e-05,9.99432e-05,0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NA_CCM1412_Ct_robu"
9.99432e-05,9.99432e-05,0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NA_CCM1415_Ct_robu"
9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,0.9993,"NA_CCM1444_Ct_inor"
9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,0.9993,"NA_CCM1445_Ct_inor"
9.99435e-05,0.9993,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,"NA_CCM1529_Ct_inor"
9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,0.9993,"NA_CCM1530_Ct_robu"
9.99436e-05,0.9993,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,"NA_CCM1579_Ct_inor"
9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,0.9993,"NA_CCM1580_Ct_inor"
9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,0.9993,"NA_CCM1710_Ct_inor"
9.99439e-05,9.99439e-05,9.99439e-05,9.99439e-05,0.9993,9.99439e-05,9.99439e-05,9.99439e-05,"NA_CCM2292_Ct_inor"
0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"NA_CCM2497_Ct_spal"
9.99441e-05,9.99441e-05,9.99441e-05,9.99441e-05,0.9993,9.99441e-05,9.99441e-05,9.99441e-05,"NA_CCM2518_Ct_vert"
9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,0.9993,9.99438e-05,9.99438e-05,9.99438e-05,"NA_CCM2565_Ct_vert"
9.99434e-05,9.99434e-05,0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"NA_CCM2866_Ct_robu"
9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,0.9993,9.99438e-05,9.99438e-05,9.99438e-05,"NA_CCM3869_Ct_inor"
9.99518e-05,9.99518e-05,9.99518e-05,0.0850839,9.99518e-05,9.99518e-05,9.99518e-05,0.914316,"NA_CCM4920_Ct_essi"
0.9993,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,"NA_CCM5477_Ct_vert"
9.99433e-05,9.99433e-05,0.9993,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,"NTMR_13838_Ct_bore"
9.99433e-05,9.99433e-05,0.9993,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,"NTMR_17739_Ct_bore"
9.99435e-05,9.99435e-05,0.9993,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,9.99435e-05,"NTMR_18323_Ct_robu"
9.99437e-05,9.99437e-05,0.9993,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,9.99437e-05,"NTMR_20378_Ct_robu"
0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NTMR_21670_Ct_spal"
9.99439e-05,9.99439e-05,0.9993,9.99439e-05,9.99439e-05,9.99439e-05,9.99439e-05,9.99439e-05,"NTMR_22166_Ct_robu"
0.9993,9.99431e-05,9.99431e-05,9.99431e-05,9.99431e-05,9.99431e-05,9.99431e-05,9.99431e-05,"NTMR_22298_Ct_spal"
0.9993,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,"NTMR_22299_Ct_spal"
0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NTMR_22325_Ct_spal"
9.99431e-05,9.99431e-05,0.9993,9.99431e-05,9.99431e-05,9.99431e-05,9.99431e-05,9.99431e-05,"NTMR_22620_Ct_robu"
0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"NTMR_22621_Ct_spal"
0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NTMR_22622_Ct_spal"
9.99434e-05,9.99434e-05,0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"NTMR_23004_Ct_bore"
9.99432e-05,9.99432e-05,0.9993,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,9.99432e-05,"NTMR_23960_Ct_robu"
9.99438e-05,9.99438e-05,9.99438e-05,9.99438e-05,0.9993,9.99438e-05,9.99438e-05,9.99438e-05,"NTMR_25983_Ct_spal"
9.99441e-05,9.99441e-05,9.99441e-05,9.99441e-05,0.9993,9.99441e-05,9.99441e-05,9.99441e-05,"SAMAR_34180_Ct_bore"
0.9993,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,"SAMAR_34202_Ct_spal"
9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,0.9993,9.99434e-05,9.99434e-05,"SAMAR_34261_Ct_late"
9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,0.9993,9.99433e-05,9.99433e-05,"SAMAR_42687_Ct_late"
9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,9.99436e-05,0.9993,9.99436e-05,9.99436e-05,"SAMAR_42768_Ct_late"
0.9993,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,9.99434e-05,"SAMAR_51093_Ct_spal"
9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,9.99433e-05,0.9993,9.99433e-05,9.99433e-05,"SAMAR_54433_Ct_late"
