group,niche_breadth,range_size,log_nb,log_rs
ariadnae,0.0110534311825932,55329,-1.95650288828122,4.74295282097492
astarte,0.00209446222326004,26714,-2.67892746837875,4.42673892163663
atlas,0.0185389139968612,559816,-1.73191571026621,5.74804530679969
australis,0.0654247332093357,1367,-1.18425803966171,3.13576851456782
brooksi,0.0132040092140313,474111,-1.87929418128193,5.67588003164016
calurus,0.0716416454958747,128653,-1.14483444764753,5.10941991777726
coggeri,0.000420998889311003,443,-3.37571904992856,2.64640372622307
duricola,0.0036576389928527,38315,-2.43679916139349,4.5833688298927
dux,0.0109856695925568,451352,-1.95917346705572,5.65451537121592
ehmanni,0.00185144960386287,157,-2.73248810487413,2.19589965240923
essingtonii,0.00174532608825294,42828,-2.75812341965128,4.63172779400329
euclae,0.0084416847714857,20010,-2.07357086925818,4.30124708863621
grandis,1.86291509292306,667017,0.270193061275575,5.82413690275029
greeri,0.577764030359415,277461,-0.238249499360427,5.44320194718804
halysis,1.01470845735047e-07,NA,-6.99365871987051,NA
hanloni,0.140679319673486,108373,-0.851769740602218,5.03492109574859
hebetior,0.019474636395622,144926,-1.71053064214573,5.16114630571684
inornatus,1.03673859760893,3565586,0.0156692675491918,6.55213091585749
joanae,0.159743877604535,142399,-0.796575777761232,5.15350693946933
lateralis,0.138108943946969,244520,-0.859778195563017,5.38831438711774
leae,0.0261432712734331,871325,-1.58264007065325,5.94018017496175
leonhardii,0.0508339131960538,1789627,-1.29384645700912,6.25276252331396
maryani,0.000354000276917357,NA,-3.45099639824643,NA
mastigura,0.00728139844821651,23587,-2.13778520310208,4.37267270704506
nasutus,0.00825111448787097,NA,-2.08348738681459,NA
olympicus,0.0279218811501438,241973,-1.55405532581944,5.38376690893418
orientalis,0.0852891322449847,517230,-1.06910630419855,5.71368370657302
pallasotus,0.0332018037498528,38910,-1.47883832179811,4.59006123080374
pantherinus,0.387839050232459,3825909,-0.411348465379394,6.58273463603423
piankai,0.351851909931855,375757,-0.45364008718138,5.57490707983262
pulchellus,0.00598223301585639,35967,-2.22313667463307,4.55590421491663
quattuordecimlineatus,0.31961967841653,760130,-0.495366489794159,5.88088787314201
regius,0.0635211444360866,717093,-1.19708168599343,5.85557548309827
robustus,0.0543510420718347,415628,-1.26479212477531,5.61870479739303
schomburgkii,0.209930051107472,2722972,-0.677925388497209,6.43504317556398
spaldingi,2.88852576856352,2951148,0.460676246239565,6.46999098990375
strauchii,0.124940103940392,811074,-0.903298137090815,5.90906047976669
superciliaris,0.241157735741966,1075939,-0.617698802428954,6.03178764984862
taeniatus,0.100485671377006,233806,-0.997895861482772,5.36885565196464
taeniolatus,2.4825645301899,426502,0.394900546086311,5.62992107204968
uber,7.07983450783373e-05,NA,-4.14997689388857,NA
vertebralis,0.00452625827326017,12624,-2.34426066835489,4.10119698586534
zebrilla,0.000674803933635906,1729,-3.17082239444185,3.23779499327392
