taxon,n_biomes,main_biome,prop_main_biome
Rhynchoedura eyrensis,2,desert,1
Rhynchoedura mentalis,2,trop_grassland,0.95
Rhynchoedura ormsbyi,4,temp_grassland,0.7
Rhynchoedura ornata,5,desert,0.65
Rhynchoedura sexapora,1,trop_grassland,1
Saiphos equalis,2,temp_forest,0.97
Saltuarius cornutus,2,moist_forest,0.58
Saltuarius eximius,1,trop_grassland,1
Saltuarius kateae,1,temp_forest,1
Saltuarius moritzi,1,temp_forest,1
Saltuarius salebrosus,2,trop_grassland,0.79
Saltuarius swaini,1,temp_forest,1
Saltuarius wyberba,1,temp_forest,1
Saproscincus basiliscus,2,moist_forest,0.79
Saproscincus challengeri,1,temp_forest,1
Saproscincus czechurai,2,moist_forest,0.57
Saproscincus eungellensis,2,moist_forest,0.97
Saproscincus hannahae,2,moist_forest,0.52
Saproscincus lewisi,2,moist_forest,0.57
Saproscincus mustelinus,3,temp_forest,0.94
Saproscincus oriarus,1,temp_forest,1
Saproscincus rosei,2,temp_forest,1
Saproscincus saltus,1,trop_grassland,1
Saproscincus tetradactylus,2,moist_forest,0.53
Silvascincus murrayi,2,temp_forest,0.98
Silvascincus tryoni,2,temp_forest,0.92
Simalia amethistina,5,moist_forest,0.76
Simalia kinghorni,2,trop_grassland,0.85
Simalia oenpelliensis,1,trop_grassland,1
Simoselaps anomalus,2,desert,0.92
Simoselaps bimaculatus,2,desert,0.64
Simoselaps littoralis,2,desert,0.61
Simoselaps minimus,1,trop_grassland,1
Stegonotus cucullatus,3,trop_grassland,0.66
Strophurus assimilis,2,mediter_woodland,0.67
Strophurus ciliaris,3,desert,0.67
Strophurus elderi,4,desert,0.94
Strophurus horneri,1,trop_grassland,1
Strophurus intermedius,4,desert,0.4
Strophurus jeanae,2,desert,0.93
Strophurus krisalys,3,trop_grassland,0.89
Strophurus mcmillani,1,trop_grassland,1
Strophurus michaelseni,2,mediter_woodland,0.84
Strophurus rankini,1,desert,1
Strophurus robinsoni,1,trop_grassland,1
Strophurus spinigerus,2,mediter_woodland,0.96
Strophurus strophurus,2,desert,0.97
Strophurus taeniatus,2,trop_grassland,0.94
Strophurus taenicauda,4,trop_grassland,0.64
Strophurus wellingtonae,2,desert,0.99
Strophurus williamsi,6,trop_grassland,0.65
Strophurus wilsoni,1,desert,1
Suta fasciata,2,desert,0.83
Suta ordensis,1,trop_grassland,1
Suta punctata,3,desert,0.57
Suta suta,6,desert,0.47
Techmarscincus jigurru,2,trop_grassland,0.72
Tiliqua adelaidensis,1,mediter_woodland,1
Tiliqua multifasciata,3,desert,0.68
Tiliqua nigrolutea,4,temp_forest,0.78
Tiliqua occipitalis,4,desert,0.6
Tiliqua rugosa,6,mediter_woodland,0.28
Tiliqua scincoides,7,trop_grassland,0.59
Tropidechis carinatus,3,temp_forest,0.77
Tropidonophis mairii,3,trop_grassland,0.87
Tumbunascincus luteilateralis,2,trop_grassland,0.76
Tympanocryptis centralis,2,desert,0.89
Tympanocryptis cephalus,3,desert,0.89
Tympanocryptis condaminensis,2,trop_grassland,0.88
Tympanocryptis houstoni,2,desert,0.83
Tympanocryptis intima,1,desert,1
Tympanocryptis lineata,5,desert,0.59
Tympanocryptis pentalineata,1,trop_grassland,1
Tympanocryptis pinguicolla,2,temp_forest,0.95
Tympanocryptis tetraporophora,5,desert,0.57
Tympanocryptis uniformis,2,trop_grassland,0.97
Tympanocryptis wilsoni,1,trop_grassland,1
Underwoodisaurus milii,5,desert,0.29
Underwoodisaurus seorsus,1,desert,1
Uvidicolus sphyrurus,3,temp_forest,0.8
Varanus acanthurus,2,desert,0.59
Varanus baritji,1,trop_grassland,1
Varanus brevicauda,3,desert,0.87
Varanus bushi,1,desert,1
Varanus caudolineatus,3,desert,0.85
Varanus eremius,3,desert,0.94
Varanus giganteus,4,desert,0.93
Varanus gilleni,2,desert,0.98
Varanus glauerti,1,trop_grassland,1
Varanus glebopalma,1,trop_grassland,1
Varanus gouldii,6,desert,0.55
Varanus hamersleyensis,1,desert,1
Varanus indicus,4,moist_forest,0.57
Varanus keithhornei,1,trop_grassland,1
Varanus kingorum,1,trop_grassland,1
Varanus mertensi,2,trop_grassland,0.99
Varanus mitchelli,1,trop_grassland,1
Varanus panoptes,4,trop_grassland,0.58
Varanus pilbarensis,1,desert,1
Varanus primordius,1,trop_grassland,1
Varanus rosenbergi,4,mediter_woodland,0.78
Varanus scalaris,2,trop_grassland,0.97
Varanus semiremex,3,trop_grassland,0.7
Varanus similis,1,trop_grassland,1
Varanus sparnus,1,trop_grassland,1
Varanus spenceri,3,trop_grassland,0.81
Varanus storri,2,trop_grassland,0.87
Varanus tristis,6,desert,0.54
Varanus varius,7,temp_forest,0.39
Vermicella annulata,6,trop_grassland,0.47
Vermicella calonotus,1,mediter_woodland,1
Vermicella intermedia,1,trop_grassland,1
Vermicella multifasciata,1,trop_grassland,1
Vermicella snelli,1,desert,1
Vermicella vermiformis,2,desert,0.79
