OTU,slope
atlas_gr_cluster_6,0.00373667381110105
atlas_gr_cluster_5,0.000142274359570017
atlas_gr_cluster_4,0.000413731032892848
atlas_gr_cluster_7,0.000289542945389085
atlas_gr_cluster_8,0.00062170038702454
atlas_gr_cluster_2,0.000958998366802609
atlas_gr_cluster_3,0.00271554293232766
atlas_gr_cluster_1,0.00368213537101002
colletti_gr_cluster_4,-3.72649562701078e-05
colletti_gr_cluster_2,0.00298467314644146
colletti_gr_cluster_1,NA
colletti_gr_cluster_3,0.0344811266482371
essingtonii_gr_cluster_4,0.00288114967886569
essingtonii_gr_cluster_5,0.000934164883605059
essingtonii_gr_cluster_3,0.00967582180692535
essingtonii_gr_cluster_2,0.00420552193213808
essingtonii_gr_cluster_6,5.09372160661442e-05
inornatus_gr_cluster_2,0.000787947837479904
inornatus_gr_cluster_5,0.00452945578607784
inornatus_gr_cluster_6,0.00033108565306051
inornatus_gr_cluster_4,0.000494263771366471
inornatus_gr_cluster_9,0.000803915974196498
inornatus_gr_cluster_8,0.00143828905098017
inornatus_gr_cluster_3,-3.84352218624073e-05
inornatus_gr_cluster_1,0.0043558951601043
inornatus_gr_cluster_7,0.000505194310514772
leonhardii_gr_cluster_2,0.000863463864832344
leonhardii_gr_cluster_7,0.000799797095758047
leonhardii_gr_cluster_9,0.000575012813718092
leonhardii_gr_cluster_8,0.000250656753982252
leonhardii_gr_cluster_1,0.000880834822062438
leonhardii_gr_cluster_12,0.000619304393588143
leonhardii_gr_cluster_3,0.00552160577489792
leonhardii_gr_cluster_10,0.000463145266072139
leonhardii_gr_cluster_11,0.000815024649718275
leonhardii_gr_cluster_4,0.00457748379644423
leonhardii_gr_cluster_6,0.00296065490556169
leonhardii_gr_cluster_5,0.00188711701323512
pantherinus_gr_cluster_4,0.000227278058926969
pantherinus_gr_cluster_1,0.00398326510483238
pantherinus_gr_cluster_3,0.000997467996738474
pantherinus_gr_cluster_2,0.000352079068111983
schomburgkii_gr_cluster_3,0.00062636915580819
schomburgkii_gr_cluster_5,0.000681843022686084
schomburgkii_gr_cluster_7,0.000335450842204478
schomburgkii_gr_cluster_4,0.00121994909148215
schomburgkii_gr_cluster_2,0.00141383355451412
schomburgkii_gr_cluster_6,0.00363926284392118
schomburgkii_gr_cluster_8,0.000839027392357265
schomburgkii_gr_cluster_1,0.00745110815219849
taeniolatus_gr_cluster_2,0.00233264184149546
taeniolatus_gr_cluster_1,NA
