ID,cluster,group
CUMV_14612_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
CUMV_14656_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
NA_ABTC113741_Ct_saxa,inornatus_gr_cluster_5,inornatus_gr
NA_ABTC31797_Ct_saxa,inornatus_gr_cluster_2,inornatus_gr
NA_ABTC60781_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
NA_ABTC61569_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
NA_CCM0090_Ct_late,inornatus_gr_cluster_5,inornatus_gr
NA_CCM0535_Ct_inor,inornatus_gr_cluster_4,inornatus_gr
NA_CCM0753_Ct_robu,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0823_Ct_robu,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0830_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0847_Ct_robu,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0848_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
NA_CCM0849_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0850_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0946_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM0956_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM0980_Ct_mast,inornatus_gr_cluster_9,inornatus_gr
NA_CCM1061_Ct_sp,inornatus_gr_cluster_9,inornatus_gr
NA_CCM1206_Ct_robu,inornatus_gr_cluster_9,inornatus_gr
NA_CCM1249_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
NA_CCM1388_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM1389_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM1390_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM1409_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM1412_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM1415_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM1444_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
NA_CCM1445_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
NA_CCM1529_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM1530_Ct_robu,inornatus_gr_cluster_8,inornatus_gr
NA_CCM1579_Ct_inor,inornatus_gr_cluster_9,inornatus_gr
NA_CCM1580_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
NA_CCM1710_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
NA_CCM2292_Ct_inor,inornatus_gr_cluster_1,inornatus_gr
NA_CCM2497_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NA_CCM2518_Ct_vert,inornatus_gr_cluster_1,inornatus_gr
NA_CCM2565_Ct_vert,inornatus_gr_cluster_1,inornatus_gr
NA_CCM2866_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NA_CCM3869_Ct_inor,inornatus_gr_cluster_1,inornatus_gr
NA_CCM4920_Ct_essi,inornatus_gr_cluster_8,inornatus_gr
NA_CCM5477_Ct_vert,inornatus_gr_cluster_7,inornatus_gr
NTMR_13838_Ct_bore,inornatus_gr_cluster_3,inornatus_gr
NTMR_17739_Ct_bore,inornatus_gr_cluster_3,inornatus_gr
NTMR_18323_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NTMR_20378_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NTMR_21670_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NTMR_22166_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NTMR_22298_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NTMR_22299_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NTMR_22325_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NTMR_22620_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NTMR_22621_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NTMR_22622_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
NTMR_23004_Ct_bore,inornatus_gr_cluster_3,inornatus_gr
NTMR_23960_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
NTMR_25983_Ct_spal,inornatus_gr_cluster_4,inornatus_gr
SAMAR_34180_Ct_bore,inornatus_gr_cluster_1,inornatus_gr
SAMAR_34202_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
SAMAR_34261_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMAR_42687_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMAR_42768_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMAR_51093_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
SAMAR_54433_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMAR_54463_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMAR_54485_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
SAMAR_55259_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMAR_55675_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
SAMAR_55799_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMR_21493_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_28536_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_29707_Ct_brac,inornatus_gr_cluster_2,inornatus_gr
SAMR_32932_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_33525_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_33695_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_33876_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_36252_Ct_brac,inornatus_gr_cluster_2,inornatus_gr
SAMR_36313_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_36349_Ct_brac,inornatus_gr_cluster_2,inornatus_gr
SAMR_38776_Ct_saxa,inornatus_gr_cluster_1,inornatus_gr
SAMR_39480_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_40718_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_42758_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMR_44367_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
SAMR_45480_Ct_saxa,inornatus_gr_cluster_2,inornatus_gr
SAMR_46119_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
SAMR_46204_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_46880_Ct_saxa,inornatus_gr_cluster_2,inornatus_gr
SAMR_48684_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_48710_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
SAMR_48962_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_49609_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_50208_Ct_saxa,inornatus_gr_cluster_2,inornatus_gr
SAMR_50372_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_52303_Ct_robu,inornatus_gr_cluster_6,inornatus_gr
SAMR_53975_Ct_saxa,inornatus_gr_cluster_1,inornatus_gr
SAMR_54340_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMR_54434_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMR_55725_Ct_spal,inornatus_gr_cluster_7,inornatus_gr
SAMR_65407_Ct_late,inornatus_gr_cluster_5,inornatus_gr
SAMR_65416_Ct_late,inornatus_gr_cluster_5,inornatus_gr
UMMZ_242614_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
UMMZ_242616_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
UMMZ_242623_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
UMMZ_242624_Ct_inor,inornatus_gr_cluster_4,inornatus_gr
UMMZ_242629_Ct_inor,inornatus_gr_cluster_4,inornatus_gr
UMMZ_242630_Ct_inor,inornatus_gr_cluster_4,inornatus_gr
UMMZ_244288_ct_inor,inornatus_gr_cluster_2,inornatus_gr
WAMR_094929_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_102423_Ct_saxa,inornatus_gr_cluster_2,inornatus_gr
WAMR_102771_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_108698_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_108745_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_108816_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_126017_Ct_inor,inornatus_gr_cluster_8,inornatus_gr
WAMR_129923_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_131009_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_131018_Ct_fall,inornatus_gr_cluster_2,inornatus_gr
WAMR_131371_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_132522_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_132682_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_132686_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_132723_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_135396_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_137950_Ct_robu,inornatus_gr_cluster_3,inornatus_gr
WAMR_139005_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
WAMR_140720_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_145567_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_152991_Ct_seve,inornatus_gr_cluster_2,inornatus_gr
WAMR_153812_Ct_saxa,inornatus_gr_cluster_4,inornatus_gr
