ID,cluster,coeff
CUMV_14845_Ct_calu,cluster_4,0.9997
NA_CCM0750_Ct_haly,cluster_2,0.9997
NA_CCM0751_Ct_haly,cluster_2,0.9997
NA_CCM0804_Ct_haly,cluster_2,0.9997
NA_CCM0816_Ct_haly,cluster_2,0.9997
NA_CCM0817_Ct_haly,cluster_2,0.9997
NA_CCM0820_Ct_haly,cluster_2,0.9997
NA_CCM1006_Ct_ehma,cluster_1,0.9997
NA_CCM1013_Ct_ehma,cluster_1,0.9997
NA_CCM1424_Ct_ehma,cluster_2,0.9997
NA_CCM1425_Ct_ehma,cluster_2,0.9997
NA_CCM4743_Ct_vert,cluster_3,0.9997
NA_CCM4823_Ct_stor,cluster_3,0.9997
NA_CCM4824_Ct_stor,cluster_3,0.9997
WAMR_102658_Ct_nasu,cluster_4,0.9997
WAMR_139414_Ct_nigr,cluster_4,0.983705
WAMR_157327_Ct_rufe,cluster_4,0.9997
