ID,cluster,coeff
CUMV_14408_Ct_broo,cluster_3,0.9993
CUMV_14409_Ct_broo,cluster_3,0.9993
CUMV_14411_Ct_broo,cluster_3,0.9993
CUMV_14412_Ct_broo,cluster_3,0.9993
CUMV_14700_Ct_scho,cluster_5,0.9993
NA_ABTC10487_Ct_broo,cluster_3,0.9993
NA_ABTC113798_Ct_scho,cluster_7,0.9993
NA_ABTC113879_Ct_stra,cluster_4,0.9993
NA_ABTC113898_Ct_stra,cluster_2,0.9993
NA_ABTC12607_Ct_broo,cluster_3,0.9993
NA_ABTC12623_Ct_scho,cluster_7,0.9993
NA_ABTC89250_Ct_broo,cluster_6,0.9993
NA_DLR0549_Ct_broo,cluster_3,0.9993
NTMR_14947_Ct_calu,cluster_8,0.9993
QMJ_74401_Ct_zebr,cluster_1,0.9993
SAMAR_24578_Ct_scho,cluster_7,0.9993
SAMAR_25378_Ct_scho,cluster_5,0.9993
SAMAR_25688_Ct_eucl,cluster_6,0.9993
SAMAR_26237_Ct_broo,cluster_3,0.9993
SAMAR_26265_Ct_scho,cluster_5,0.9993
SAMAR_29939_Ct_broo,cluster_3,0.9993
SAMAR_32029_Ct_broo,cluster_3,0.9993
SAMAR_32255_Ct_scho,cluster_5,0.9993
SAMAR_34780_Ct_stra,cluster_2,0.9993
SAMAR_35050_Ct_scho,cluster_7,0.9993
SAMAR_36034_Ct_taen,cluster_6,0.9993
SAMAR_36575_Ct_eucl,cluster_6,0.9993
SAMAR_36883_Ct_stra,cluster_4,0.9993
SAMAR_37073_Ct_scho,cluster_7,0.9993
SAMAR_37916_Ct_stra,cluster_2,0.9993
SAMAR_39563_Ct_taen,cluster_6,0.9993
SAMAR_41321_Ct_scho,cluster_7,0.9993
SAMAR_41349_Ct_stra,cluster_2,0.9993
SAMAR_41903_Ct_scho,cluster_7,0.9993
SAMAR_42343_Ct_stra,cluster_2,0.9993
SAMAR_42658_Ct_taen,cluster_6,0.9993
SAMAR_42743_Ct_stra,cluster_4,0.9993
SAMAR_42800_Ct_stra,cluster_2,0.9993
SAMAR_42874_Ct_stra,cluster_4,0.9993
SAMAR_42955_Ct_stra,cluster_2,0.9993
SAMAR_45381_Ct_calu,cluster_8,0.9993
SAMAR_45516_Ct_stra,cluster_4,0.9993
SAMAR_45530_Ct_scho,cluster_5,0.9993
SAMAR_45963_Ct_broo,cluster_3,0.9993
SAMAR_46104_Ct_scho,cluster_7,0.9993
SAMAR_46452_Ct_scho,cluster_7,0.9993
SAMAR_47257_Ct_taen,cluster_6,0.9993
SAMAR_48325_Ct_scho,cluster_7,0.9993
SAMAR_48354_Ct_scho,cluster_7,0.9993
SAMAR_48386_Ct_stra,cluster_2,0.9993
SAMAR_48699_Ct_calu,cluster_8,0.9993
SAMAR_48785_Ct_calu,cluster_8,0.9993
SAMAR_49141_Ct_scho,cluster_7,0.9993
SAMAR_50062_Ct_scho,cluster_7,0.9993
SAMAR_50902_Ct_stra,cluster_2,0.9993
SAMAR_55709_Ct_zebr,cluster_1,0.9993
SAMAR_55848_Ct_stra,cluster_1,0.9993
SAMAR_56458_Ct_broo,cluster_3,0.9993
SAMAR_56672_Ct_broo,cluster_6,0.9993
SAMAR_57213_Ct_calu,cluster_8,0.9993
SAMAR_58943_Ct_broo,cluster_3,0.9993
SAMAR_59192_Ct_scho,cluster_7,0.9993
SAMAR_60340_Ct_scho,cluster_7,0.9993
SAMAR_61390_Ct_eucl,cluster_6,0.9993
SAMAR_62561_Ct_scho,cluster_7,0.9993
SAMAR_65908_Ct_broo,cluster_3,0.9993
SAMR_35905_Ct_taen,cluster_6,0.9993
SAMR_42487_Ct_stra,cluster_2,0.9993
SAMR_42881_Ct_stra,cluster_4,0.9993
SAMR_44903_Ct_stra,cluster_2,0.9993
SAMR_44934_Ct_taen,cluster_6,0.9993
SAMR_44955_Ct_stra,cluster_2,0.9993
SAMR_45029_Ct_stra,cluster_2,0.9993
SAMR_46072_Ct_eucl,cluster_6,0.998688
SAMR_46857_Ct_stra,cluster_2,0.9993
SAMR_54494_Ct_zebr,cluster_1,0.9993
SAMR_54511_Ct_zebr,cluster_1,0.9993
SAMR_55734_Ct_stra,cluster_4,0.972552
SAMR_62029_Ct_calu,cluster_8,0.9993
SAMR_62121_Ct_scho,cluster_7,0.981179
SAMR_65381_Ct_scho,cluster_7,0.9993
UMMZ_242648_Ct_scho,cluster_5,0.9993
WAMR_077870_Ct_scho,cluster_5,0.9993
WAMR_100527_Ct_scho,cluster_5,0.9993
WAMR_102261_Ct_scho,cluster_5,0.9993
WAMR_151241_Ct_scho,cluster_5,0.9993
WAMR_151655_Ct_scho,cluster_5,0.9993
WAMR_166440_Ct_calu,cluster_8,0.9993
