ID,cluster,coeff
WAMR_108816_Ct_saxa,cluster_4,0.999201
WAMR_126017_Ct_inor,cluster_8,0.999201
WAMR_129923_Ct_hele,cluster_2,0.999201
WAMR_131009_Ct_hele,cluster_2,0.999201
WAMR_131018_Ct_fall,cluster_2,0.999201
WAMR_131371_Ct_hele,cluster_2,0.999201
WAMR_132522_Ct_saxa,cluster_4,0.999201
WAMR_132682_Ct_saxa,cluster_4,0.999201
WAMR_132686_Ct_saxa,cluster_4,0.999201
WAMR_132723_Ct_saxa,cluster_4,0.999201
WAMR_135396_Ct_hele,cluster_2,0.999201
WAMR_137950_Ct_robu,cluster_3,0.999201
WAMR_139005_Ct_saxa,cluster_4,0.999201
WAMR_140720_Ct_hele,cluster_2,0.999201
WAMR_145567_Ct_hele,cluster_2,0.999201
WAMR_152991_Ct_seve,cluster_2,0.882567
WAMR_153812_Ct_saxa,cluster_4,0.999201
WAMR_166390_Ct_hele,cluster_2,0.999201
WAMR_166391_Ct_hele,cluster_2,0.999201
