ID,cluster,coeff
CUMV_14591_Ct_hele,cluster_4,0.9993
CUMV_14596_Ct_hele,cluster_4,0.9993
CUMV_14601_Ct_hele,cluster_4,0.9993
CUMV_14602_Ct_hele,cluster_4,0.9993
CUMV_14604_Ct_hele,cluster_4,0.9993
CUMV_14606_Ct_hele,cluster_4,0.9993
CUMV_14611_Ct_hele,cluster_4,0.9993
CUMV_14612_Ct_hele,cluster_4,0.9993
CUMV_14656_Ct_hele,cluster_4,0.9993
NA_ABTC113741_Ct_saxa,cluster_6,0.9993
NA_ABTC31797_Ct_saxa,cluster_4,0.9993
NA_ABTC60781_Ct_hele,cluster_4,0.971436
NA_ABTC61569_Ct_robu,cluster_7,0.9993
NA_CCM0090_Ct_late,cluster_6,0.9993
NA_CCM0535_Ct_inor,cluster_5,0.9993
NA_CCM0753_Ct_robu,cluster_2,0.9993
NA_CCM0823_Ct_robu,cluster_2,0.9993
NA_CCM0830_Ct_inor,cluster_2,0.9993
NA_CCM0847_Ct_robu,cluster_2,0.9993
NA_CCM0848_Ct_inor,cluster_8,0.9993
NA_CCM0849_Ct_inor,cluster_2,0.9993
NA_CCM0850_Ct_inor,cluster_2,0.9993
NA_CCM0946_Ct_inor,cluster_2,0.9993
NA_CCM0956_Ct_robu,cluster_3,0.9993
NA_CCM0980_Ct_mast,cluster_2,0.9993
NA_CCM1061_Ct_sp,cluster_2,0.9993
NA_CCM1206_Ct_robu,cluster_2,0.9993
NA_CCM1249_Ct_inor,cluster_8,0.9993
NA_CCM1388_Ct_robu,cluster_3,0.9993
NA_CCM1389_Ct_robu,cluster_3,0.9993
NA_CCM1390_Ct_inor,cluster_2,0.9993
NA_CCM1409_Ct_robu,cluster_3,0.9993
NA_CCM1412_Ct_robu,cluster_3,0.9993
NA_CCM1415_Ct_robu,cluster_3,0.9993
NA_CCM1444_Ct_inor,cluster_8,0.9993
NA_CCM1445_Ct_inor,cluster_8,0.9993
NA_CCM1529_Ct_inor,cluster_2,0.9993
NA_CCM1530_Ct_robu,cluster_8,0.9993
NA_CCM1579_Ct_inor,cluster_2,0.9993
NA_CCM1580_Ct_inor,cluster_8,0.9993
NA_CCM1710_Ct_inor,cluster_8,0.9993
NA_CCM2292_Ct_inor,cluster_5,0.9993
NA_CCM2497_Ct_spal,cluster_1,0.9993
NA_CCM2518_Ct_vert,cluster_5,0.9993
NA_CCM2565_Ct_vert,cluster_5,0.9993
NA_CCM2866_Ct_robu,cluster_3,0.9993
NA_CCM3869_Ct_inor,cluster_5,0.9993
NA_CCM4920_Ct_essi,cluster_8,0.914316
NA_CCM5477_Ct_vert,cluster_1,0.9993
NTMR_13838_Ct_bore,cluster_3,0.9993
NTMR_17739_Ct_bore,cluster_3,0.9993
NTMR_18323_Ct_robu,cluster_3,0.9993
NTMR_20378_Ct_robu,cluster_3,0.9993
NTMR_21670_Ct_spal,cluster_1,0.9993
NTMR_22166_Ct_robu,cluster_3,0.9993
NTMR_22298_Ct_spal,cluster_1,0.9993
NTMR_22299_Ct_spal,cluster_1,0.9993
NTMR_22325_Ct_spal,cluster_1,0.9993
NTMR_22620_Ct_robu,cluster_3,0.9993
NTMR_22621_Ct_spal,cluster_1,0.9993
NTMR_22622_Ct_spal,cluster_1,0.9993
NTMR_23004_Ct_bore,cluster_3,0.9993
NTMR_23960_Ct_robu,cluster_3,0.9993
NTMR_25983_Ct_spal,cluster_5,0.9993
SAMAR_34180_Ct_bore,cluster_5,0.9993
SAMAR_34202_Ct_spal,cluster_1,0.9993
SAMAR_34261_Ct_late,cluster_6,0.9993
SAMAR_42687_Ct_late,cluster_6,0.9993
SAMAR_42768_Ct_late,cluster_6,0.9993
SAMAR_51093_Ct_spal,cluster_1,0.9993
SAMAR_54433_Ct_late,cluster_6,0.9993
SAMAR_54463_Ct_late,cluster_6,0.9993
SAMAR_54485_Ct_spal,cluster_1,0.9993
SAMAR_55259_Ct_late,cluster_6,0.9993
SAMAR_55675_Ct_spal,cluster_1,0.9993
SAMAR_55799_Ct_late,cluster_6,0.885364
SAMR_21493_Ct_robu,cluster_7,0.9993
SAMR_28536_Ct_robu,cluster_7,0.9993
SAMR_29707_Ct_brac,cluster_4,0.869251
SAMR_32932_Ct_robu,cluster_7,0.9993
SAMR_33525_Ct_robu,cluster_7,0.9993
SAMR_33695_Ct_robu,cluster_7,0.9993
SAMR_33876_Ct_robu,cluster_7,0.9993
SAMR_36252_Ct_brac,cluster_4,0.769998
SAMR_36313_Ct_robu,cluster_7,0.9993
SAMR_36349_Ct_brac,cluster_4,0.9993
SAMR_38776_Ct_saxa,cluster_5,0.9993
SAMR_39480_Ct_robu,cluster_7,0.9993
SAMR_40718_Ct_robu,cluster_7,0.9993
SAMR_42758_Ct_late,cluster_6,0.9993
SAMR_44367_Ct_hele,cluster_4,0.9993
SAMR_45480_Ct_saxa,cluster_4,0.9993
SAMR_46119_Ct_hele,cluster_4,0.9993
SAMR_46204_Ct_robu,cluster_7,0.9993
SAMR_46880_Ct_saxa,cluster_4,0.9993
SAMR_48684_Ct_robu,cluster_7,0.9993
SAMR_48710_Ct_hele,cluster_4,0.9993
SAMR_48962_Ct_robu,cluster_7,0.9993
SAMR_49609_Ct_robu,cluster_7,0.9993
SAMR_50208_Ct_saxa,cluster_4,0.9993
SAMR_50372_Ct_robu,cluster_7,0.9993
SAMR_52303_Ct_robu,cluster_7,0.9993
SAMR_53975_Ct_saxa,cluster_5,0.845565
SAMR_54340_Ct_late,cluster_6,0.9993
SAMR_54434_Ct_late,cluster_6,0.9993
SAMR_55725_Ct_spal,cluster_1,0.9993
SAMR_65407_Ct_late,cluster_6,0.9993
SAMR_65416_Ct_late,cluster_6,0.9993
UMMZ_242614_Ct_hele,cluster_4,0.9993
UMMZ_242616_Ct_hele,cluster_4,0.9993
UMMZ_242623_Ct_hele,cluster_4,0.9993
UMMZ_242624_Ct_inor,cluster_5,0.9993
UMMZ_242629_Ct_inor,cluster_5,0.9993
UMMZ_242630_Ct_inor,cluster_5,0.9993
UMMZ_244288_ct_inor,cluster_4,0.9993
WAMR_094929_Ct_hele,cluster_4,0.9993
WAMR_102423_Ct_saxa,cluster_4,0.9993
WAMR_102771_Ct_hele,cluster_4,0.9993
WAMR_108698_Ct_saxa,cluster_5,0.9993
WAMR_108745_Ct_saxa,cluster_5,0.9993
WAMR_108816_Ct_saxa,cluster_5,0.9993
WAMR_126017_Ct_inor,cluster_8,0.9993
WAMR_129923_Ct_hele,cluster_4,0.9993
WAMR_131009_Ct_hele,cluster_4,0.9993
WAMR_131018_Ct_fall,cluster_4,0.9993
WAMR_131371_Ct_hele,cluster_4,0.9993
WAMR_132522_Ct_saxa,cluster_5,0.9993
WAMR_132682_Ct_saxa,cluster_5,0.9993
WAMR_132686_Ct_saxa,cluster_5,0.9993
WAMR_132723_Ct_saxa,cluster_5,0.9993
WAMR_135396_Ct_hele,cluster_4,0.9993
WAMR_137950_Ct_robu,cluster_3,0.9993
WAMR_139005_Ct_saxa,cluster_5,0.9993
WAMR_140720_Ct_hele,cluster_4,0.9993
WAMR_145567_Ct_hele,cluster_4,0.9993
WAMR_152991_Ct_seve,cluster_4,0.9993
WAMR_153812_Ct_saxa,cluster_5,0.9993
WAMR_166390_Ct_hele,cluster_4,0.9993
WAMR_166391_Ct_hele,cluster_4,0.9993
