ID,cluster,coeff
CUMV_1450314572_Ct_pant,cluster_1,0.969364
CUMV_14516_Ct_pant,cluster_1,0.96068
CUMV_14517_Ct_pant,cluster_1,0.978577
CUMV_14525_Ct_pant,cluster_1,0.965521
CUMV_14526_Ct_pant,cluster_1,0.96031
CUMV_14527_Ct_pant,cluster_1,0.977723
CUMV_14559_Ct_pant,cluster_1,0.999113
CUMV_14567_Ct_pant,cluster_1,0.974655
CUMV_14570_Ct_pant,cluster_1,0.9998
CUMV_1457314504_Ct_pant,cluster_1,0.968851
CUMV_14576_Ct_pant,cluster_1,0.426741
NA_CCM1889_Ct_pant,cluster_1,0.9998
NA_CCM2756_Ct_pant,cluster_1,0.9998
QM_62378_Ct_pant,cluster_1,0.9998
SAMR_42153_Ct_pant,cluster_1,0.992873
SAMR_44378_Ct_pant,cluster_1,0.9998
SAMR_44860_Ct_pant,cluster_1,0.993339
SAMR_45310_Ct_pant,cluster_1,0.696924
SAMR_45528_Ct_pant,cluster_1,0.761602
SAMR_49197_Ct_pant,cluster_3,0.9998
SAMR_54432_Ct_pant,cluster_3,0.9998
SAMR_55674_Ct_pant,cluster_3,0.9998
SAMR_65403_Ct_pant,cluster_3,0.9998
UMMZ_242633_Ct_pant,cluster_1,0.9998
UMMZ_242634_Ct_pant,cluster_1,0.9998
UMMZ_242638_Ct_pant,cluster_1,0.9998
UMMZ_242639_Ct_pant,cluster_1,0.9998
UMMZ_242643_Ct_pant,cluster_2,0.9998
WAMR_104950_Ct_pant,cluster_2,0.970469
WAMR_108591_Ct_pant,cluster_2,0.9998
WAMR_108704_Ct_pant,cluster_1,0.9998
WAMR_119962_Ct_pant,cluster_1,0.974354
WAMR_129335_Ct_pant,cluster_2,0.9998
WAMR_129863_Ct_pant,cluster_2,0.429985
WAMR_129885_Ct_pant,cluster_1,0.9998
WAMR_131057_Ct_pant,cluster_1,0.9998
WAMR_132520_Ct_pant,cluster_2,0.932882
WAMR_135379_Ct_pant,cluster_2,0.991637
WAMR_139092_Ct_pant,cluster_1,0.9998
WAMR_140704_Ct_pant,cluster_1,0.582576
WAMR_145526_Ct_pant,cluster_2,0.892191
WAMR_153984_Ct_pant,cluster_2,0.426899
WAMR_158463_Ct_pant,cluster_2,0.9998
