,NTMR_14947_Ct_calu,SAMAR_45381_Ct_calu,SAMAR_48699_Ct_calu,SAMAR_48785_Ct_calu,SAMAR_57213_Ct_calu,SAMR_62029_Ct_calu,WAMR_166440_Ct_calu
NTMR_14947_Ct_calu,NA,0.565217391304348,0.369565217391304,0.44,1.21212121212121,0.325,0.386363636363636
SAMAR_45381_Ct_calu,0.565217391304348,NA,0.122448979591837,0.0769230769230769,0.685714285714286,0.395348837209302,0.297872340425532
SAMAR_48699_Ct_calu,0.369565217391304,0.122448979591837,NA,0.0555555555555556,0.394736842105263,0.0697674418604651,0.170212765957447
SAMAR_48785_Ct_calu,0.44,0.0769230769230769,0.0555555555555556,NA,0.325,0.106382978723404,0.0566037735849057
SAMAR_57213_Ct_calu,1.21212121212121,0.685714285714286,0.394736842105263,0.325,NA,0.676470588235294,0.707317073170732
SAMR_62029_Ct_calu,0.325,0.395348837209302,0.0697674418604651,0.106382978723404,0.676470588235294,NA,0.232558139534884
WAMR_166440_Ct_calu,0.386363636363636,0.297872340425532,0.170212765957447,0.0566037735849057,0.707317073170732,0.232558139534884,NA
