,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa
NA_CCM2292_Ct_inor,NA,80.536196140494,105.177436292242,196.796099442506,334.06854572738,610.241138336259,847.162130169478
NA_CCM2518_Ct_vert,80.536196140494,NA,63.5458178683983,190.649033114232,414.55880186717,685.450682687595,918.843193198573
NA_CCM2565_Ct_vert,105.177436292242,63.5458178683983,NA,128.747369605911,424.56636939575,712.415472347904,951.241437370244
NA_CCM3869_Ct_inor,196.796099442506,190.649033114232,128.747369605911,NA,437.946483603502,748.724624444731,995.138840322558
SAMAR_34180_Ct_bore,334.06854572738,414.55880186717,424.56636939575,437.946483603502,NA,317.936340890965,566.72447526076
SAMR_38776_Ct_saxa,610.241138336259,685.450682687595,712.415472347904,748.724624444731,317.936340890965,NA,248.788585248533
SAMR_53975_Ct_saxa,847.162130169478,918.843193198573,951.241437370244,995.138840322558,566.72447526076,248.788585248533,NA
