,WAMR_099165_Ct_duri,WAMR_139394_Ct_duri,WAMR_157067_Ct_duri,WAMR_160095_Ct_duri,WAMR_161462_Ct_duri,WAMR_162334_Ct_duri,WAMR_170467_Ct_duri,WAMR_170880_Ct_duri
WAMR_099165_Ct_duri,NA,61.7170964968379,687.24886322205,81.0493676718085,363.283635744854,273.373371051388,1018.02750454003,239.445192058642
WAMR_139394_Ct_duri,61.7170964968379,NA,709.485729243372,40.1746188532013,345.3027656999,293.264385836399,1038.37132086744,219.579142907518
WAMR_157067_Ct_duri,687.24886322205,709.485729243372,NA,678.25806298193,1050.21045509936,416.482892805935,331.320086925016,925.234564853692
WAMR_160095_Ct_duri,81.0493676718085,40.1746188532013,678.25806298193,NA,381.557335141129,263.138746671789,1005.87822324574,256.263536227845
WAMR_161462_Ct_duri,363.283635744854,345.3027656999,1050.21045509936,381.557335141129,NA,634.751920044359,1380.6393446516,125.884868034248
WAMR_162334_Ct_duri,273.373371051388,293.264385836399,416.482892805935,263.138746671789,634.751920044359,NA,746.11460245729,509.390812637998
WAMR_170467_Ct_duri,1018.02750454003,1038.37132086744,331.320086925016,1005.87822324574,1380.6393446516,746.11460245729,NA,1255.40830011594
WAMR_170880_Ct_duri,239.445192058642,219.579142907518,925.234564853692,256.263536227845,125.884868034248,509.390812637998,1255.40830011594,NA
