,CUMV_14730_Ct_leon,CUMV_14742_Ct_leon,CUMV_14744_Ct_leon,NA_CCM1955_Ct_leon,NTMR_25649_Ct_leon,SAMR_22246_Ct_leon,SAMR_46944_Ct_leon,SAMR_49090_Ct_leon,SAMR_51082_Ct_leon,SAMR_51580_Ct_leon,SAMR_62131_Ct_leon,WAMR_117303_Ct_leon,WAMR_119774_Ct_leon,WAMR_129973_Ct_leon,WAMR_131785_Ct_leon,WAMR_144639_Ct_leon,WAMR_166448_Ct_leon
CUMV_14730_Ct_leon,NA,537.781554164886,24.4335834457412,916.626968837378,40.1248052954778,1062.17089020553,122.176102409596,129.387016350173,1562.86371766703,132.170344631464,149.338541575844,378.146796892424,187.944140637584,39.560080889705,613.196542716933,524.486415458017,169.617216107328
CUMV_14742_Ct_leon,537.781554164886,NA,525.206626005423,393.153913881065,512.114245066469,525.191393684245,631.982594697037,655.043510005252,1037.37264278561,412.838951650641,394.810080924994,162.68374227316,355.344902876065,501.854560604963,79.454389431925,45.596052460712,457.454915811384
CUMV_14744_Ct_leon,24.4335834457412,525.206626005423,NA,905.409299709253,17.058722109232,1049.01763569542,128.887547885744,140.769314838142,1551.8002448769,115.870617500728,135.007407204198,365.630961489861,174.281381679168,30,601.464047138314,511.271943294369,163.030671960831
NA_CCM1955_Ct_leon,916.626968837378,393.153913881065,905.409299709253,NA,893.513849920638,230.469086864161,1019.05937020372,1039.41233396569,646.901847268966,792.624753587724,771.757086135268,541.564400602551,742.026953688341,879.598772168311,321.64110433836,400.421028418838,807.974628314528
NTMR_25649_Ct_leon,40.1248052954778,512.114245066469,17.058722109232,893.513849920638,NA,1035.46945874806,137.277092043793,152.207095761006,1540.02370111632,102.454868112745,123.247718031613,353.05098781904,160.850862602598,30.2489669245083,588.735934014563,498.307134205401,161.158307263386
SAMR_22246_Ct_leon,1062.17089020553,525.191393684245,1049.01763569542,230.469086864161,1035.46945874806,NA,1151.31663759367,1176.72851584382,565.641229048944,936.406962810508,918.672411689825,686.81001739928,877.127128756146,1026.35763747341,451.945793209761,542.780802902977,974.470625519312
SAMR_46944_Ct_leon,122.176102409596,631.982594697037,128.887547885744,1019.05937020372,137.277092043793,1151.31663759367,NA,39.1407715815619,1665.84633144837,235.605602649852,257.272229360263,478.2279791062,277.694076278195,156.984075625523,707.328070982624,622.515060058791,287.765529554879
SAMR_49090_Ct_leon,129.387016350173,655.043510005252,140.769314838142,1039.41233396569,152.207095761006,1176.72851584382,39.1407715815619,NA,1686.19215986791,253.223221683952,274.114939395867,499.113213609898,301.001661124984,167.463428843434,730.273236535476,644.768950865347,290.735274777589
SAMR_51082_Ct_leon,1562.86371766703,1037.37264278561,1551.8002448769,646.901847268966,1540.02370111632,565.641229048944,1665.84633144837,1686.19215986791,NA,1438.94753205251,1417.82826886757,1188.34086019122,1388.65618495004,1525.71163723687,963.330161471133,1045.74423259227,1447.45189902808
SAMR_51580_Ct_leon,132.170344631464,412.838951650641,115.870617500728,792.624753587724,102.454868112745,936.406962810508,235.605602649852,253.223221683952,1438.94753205251,NA,28.1247222208505,252.796360733299,77.9615289742319,94.4563391202517,490.107131145834,397.505974797864,126.858188541379
SAMR_62131_Ct_leon,149.338541575844,394.810080924994,135.007407204198,771.757086135268,123.247718031613,918.672411689825,257.272229360263,274.114939395867,1417.82826886757,28.1247222208505,NA,233.373091850796,71.6030725597722,110.575765880233,471.523064123061,378.222156939543,116.679046962169
WAMR_117303_Ct_leon,378.146796892424,162.68374227316,365.630961489861,541.564400602551,353.05098781904,686.81001739928,478.2279791062,499.113213609898,1188.34086019122,252.796360733299,233.373091850796,NA,201.643249329106,341.306314034768,239.02091958655,147.006802563691,297.269238233626
WAMR_119774_Ct_leon,187.944140637584,355.344902876065,174.281381679168,742.026953688341,160.850862602598,877.127128756146,277.694076278195,301.001661124984,1388.65618495004,77.9615289742319,71.6030725597722,201.643249329106,NA,155.157984003402,431.322385229424,345.037679101863,186.045693312154
WAMR_129973_Ct_leon,39.560080889705,501.854560604963,30,879.598772168311,30.2489669245083,1026.35763747341,156.984075625523,167.463428843434,1525.71163723687,94.4563391202517,110.575765880233,341.306314034768,155.157984003402,NA,577.704941990286,487.32637933935,138.401589586247
WAMR_131785_Ct_leon,613.196542716933,79.454389431925,601.464047138314,321.64110433836,588.735934014563,451.945793209761,707.328070982624,730.273236535476,963.330161471133,490.107131145834,471.523064123061,239.02091958655,431.322385229424,577.704941990286,NA,108.046286377645,531.162875208725
WAMR_144639_Ct_leon,524.486415458017,45.596052460712,511.271943294369,400.421028418838,498.307134205401,542.780802902977,622.515060058791,644.768950865347,1045.74423259227,397.505974797864,378.222156939543,147.006802563691,345.037679101863,487.32637933935,108.046286377645,NA,433.172021257144
WAMR_166448_Ct_leon,169.617216107328,457.454915811384,163.030671960831,807.974628314528,161.158307263386,974.470625519312,287.765529554879,290.735274777589,1447.45189902808,126.858188541379,116.679046962169,297.269238233626,186.045693312154,138.401589586247,531.162875208725,433.172021257144,NA
