,SAMR_49197_Ct_pant,SAMR_54432_Ct_pant,SAMR_55674_Ct_pant,SAMR_65403_Ct_pant
SAMR_49197_Ct_pant,NA,1.49800796812749,1.40928270042194,0.982758620689655
SAMR_54432_Ct_pant,1.49800796812749,NA,0.891107078039927,0.693997071742313
SAMR_55674_Ct_pant,1.40928270042194,0.891107078039927,NA,0.720430107526882
SAMR_65403_Ct_pant,0.982758620689655,0.693997071742313,0.720430107526882,NA
