,NA_CCM4743_Ct_vert,NA_CCM4823_Ct_stor,NA_CCM4824_Ct_stor
NA_CCM4743_Ct_vert,NA,0.221052631578947,0.417721518987342
NA_CCM4823_Ct_stor,0.221052631578947,NA,0
NA_CCM4824_Ct_stor,0.417721518987342,0,NA
