,QMJ_62373_Ct_asta,SAMAR_42823_Ct_asta,SAMAR_42840_Ct_asta,SAMAR_42843_Ct_asta,SAMAR_42903_Ct_asta,SAMAR_42949_Ct_orie,SAMAR_42950_Ct_orie
QMJ_62373_Ct_asta,NA,217.068919597684,193.852633571216,206.583716174367,22.8048584733825,86.4950786086941,81.603574363426
SAMAR_42823_Ct_asta,217.068919597684,NA,100.665459857238,154.874251316767,239.625917363137,244.721160959165,237.336261994396
SAMAR_42840_Ct_asta,193.852633571216,100.665459857238,NA,54.3420226481451,215.572582290001,254.247909627756,246.761000341719
SAMAR_42843_Ct_asta,206.583716174367,154.874251316767,54.3420226481451,NA,225.867005024356,279.091134643893,271.969150305566
SAMAR_42903_Ct_asta,22.8048584733825,239.625917363137,215.572582290001,225.867005024356,NA,82.7580920691278,79.6286419354696
SAMAR_42949_Ct_orie,86.4950786086941,244.721160959165,254.247909627756,279.091134643893,82.7580920691278,NA,7.5997479012476
SAMAR_42950_Ct_orie,81.603574363426,237.336261994396,246.761000341719,271.969150305566,79.6286419354696,7.5997479012476,NA
