,CUMV_1450314572_Ct_pant,CUMV_14516_Ct_pant,CUMV_14517_Ct_pant,CUMV_14525_Ct_pant,CUMV_14526_Ct_pant,CUMV_14527_Ct_pant,CUMV_14559_Ct_pant,CUMV_14567_Ct_pant,CUMV_14570_Ct_pant,CUMV_1457314504_Ct_pant,CUMV_14576_Ct_pant,NA_CCM1889_Ct_pant,NA_CCM2756_Ct_pant,QM_62378_Ct_pant,SAMR_42153_Ct_pant,SAMR_44378_Ct_pant,SAMR_44860_Ct_pant,SAMR_45310_Ct_pant,SAMR_45528_Ct_pant,SAMR_49197_Ct_pant,SAMR_54432_Ct_pant,SAMR_55674_Ct_pant,SAMR_65403_Ct_pant,UMMZ_242633_Ct_pant,UMMZ_242634_Ct_pant,UMMZ_242638_Ct_pant,UMMZ_242639_Ct_pant,UMMZ_242643_Ct_pant,WAMR_104950_Ct_pant,WAMR_108591_Ct_pant,WAMR_108704_Ct_pant,WAMR_119962_Ct_pant,WAMR_129863_Ct_pant,WAMR_129885_Ct_pant,WAMR_131057_Ct_pant,WAMR_132520_Ct_pant,WAMR_135379_Ct_pant,WAMR_139092_Ct_pant,WAMR_140704_Ct_pant,WAMR_145526_Ct_pant,WAMR_153984_Ct_pant,WAMR_158463_Ct_pant
CUMV_1450314572_Ct_pant,NA,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,0,0,252.362088252116,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,1820.16715293916,2057.52320880078,2448.05182055641,2170.82280405969,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,728.114437804524,576.125124870163,729.928823816097,1102.76938764865,507.087520795678,640.294641331303,520.115915628174,732.257510562598,788.05512019064,595.455790618152,713.457126561121,450.633235521622,641.79279573642,763.308308005075,845.206539769034
CUMV_14516_Ct_pant,311.744197747037,NA,0,0,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,431.637004311823,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1543.73957135919,1926.09067209372,2265.16669722969,1962.14620850585,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,967.328204062395,876.636715507806,1041.49513019778,1143.19542432974,755.119889267549,808.757724167752,445.995799959329,708.140079845454,1098.05447217395,907.165381721076,956.850228558226,753.890758818676,941.325706600256,811.048074749377,1147.02909829298
CUMV_14517_Ct_pant,311.744197747037,0,NA,0,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,431.637004311823,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1543.73957135919,1926.09067209372,2265.16669722969,1962.14620850585,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,967.328204062395,876.636715507806,1041.49513019778,1143.19542432974,755.119889267549,808.757724167752,445.995799959329,708.140079845454,1098.05447217395,907.165381721076,956.850228558226,753.890758818676,941.325706600256,811.048074749377,1147.02909829298
CUMV_14525_Ct_pant,311.744197747037,0,0,NA,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,431.637004311823,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1543.73957135919,1926.09067209372,2265.16669722969,1962.14620850585,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,967.328204062395,876.636715507806,1041.49513019778,1143.19542432974,755.119889267549,808.757724167752,445.995799959329,708.140079845454,1098.05447217395,907.165381721076,956.850228558226,753.890758818676,941.325706600256,811.048074749377,1147.02909829298
CUMV_14526_Ct_pant,311.744197747037,0,0,0,NA,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,431.637004311823,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1543.73957135919,1926.09067209372,2265.16669722969,1962.14620850585,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,967.328204062395,876.636715507806,1041.49513019778,1143.19542432974,755.119889267549,808.757724167752,445.995799959329,708.140079845454,1098.05447217395,907.165381721076,956.850228558226,753.890758818676,941.325706600256,811.048074749377,1147.02909829298
CUMV_14527_Ct_pant,311.744197747037,0,0,0,0,NA,311.744197747037,311.744197747037,311.744197747037,311.744197747037,431.637004311823,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1543.73957135919,1926.09067209372,2265.16669722969,1962.14620850585,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,967.328204062395,876.636715507806,1041.49513019778,1143.19542432974,755.119889267549,808.757724167752,445.995799959329,708.140079845454,1098.05447217395,907.165381721076,956.850228558226,753.890758818676,941.325706600256,811.048074749377,1147.02909829298
CUMV_14559_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,NA,0,0,0,252.362088252116,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,1820.16715293916,2057.52320880078,2448.05182055641,2170.82280405969,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,728.114437804524,576.125124870163,729.928823816097,1102.76938764865,507.087520795678,640.294641331303,520.115915628174,732.257510562598,788.05512019064,595.455790618152,713.457126561121,450.633235521622,641.79279573642,763.308308005075,845.206539769034
CUMV_14567_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,NA,0,0,252.362088252116,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,1820.16715293916,2057.52320880078,2448.05182055641,2170.82280405969,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,728.114437804524,576.125124870163,729.928823816097,1102.76938764865,507.087520795678,640.294641331303,520.115915628174,732.257510562598,788.05512019064,595.455790618152,713.457126561121,450.633235521622,641.79279573642,763.308308005075,845.206539769034
CUMV_14570_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,NA,0,252.362088252116,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,1820.16715293916,2057.52320880078,2448.05182055641,2170.82280405969,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,728.114437804524,576.125124870163,729.928823816097,1102.76938764865,507.087520795678,640.294641331303,520.115915628174,732.257510562598,788.05512019064,595.455790618152,713.457126561121,450.633235521622,641.79279573642,763.308308005075,845.206539769034
CUMV_1457314504_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,0,NA,252.362088252116,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,1820.16715293916,2057.52320880078,2448.05182055641,2170.82280405969,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,728.114437804524,576.125124870163,729.928823816097,1102.76938764865,507.087520795678,640.294641331303,520.115915628174,732.257510562598,788.05512019064,595.455790618152,713.457126561121,450.633235521622,641.79279573642,763.308308005075,845.206539769034
