,SAMR_48698_Ct_gran,WAMR_102472_Ct_hele,WAMR_157583_Ct_hanl
SAMR_48698_Ct_gran,NA,4.96875,3.97777777777778
WAMR_102472_Ct_hele,4.96875,NA,0.783783783783784
WAMR_157583_Ct_hanl,3.97777777777778,0.783783783783784,NA
