,NTMR_25649_Ct_leon,SAMR_22246_Ct_leon,SAMR_46944_Ct_leon,SAMR_49090_Ct_leon,SAMR_51082_Ct_leon,SAMR_51580_Ct_leon
NTMR_25649_Ct_leon,NA,0.311320754716981,0.229357798165138,0.541666666666667,0.622047244094488,0.1953125
SAMR_22246_Ct_leon,0.311320754716981,NA,0.342105263157895,0.918604651162791,0.973214285714286,0.408
SAMR_46944_Ct_leon,0.229357798165138,0.342105263157895,NA,0.539325842696629,0.719298245614035,0.272727272727273
SAMR_49090_Ct_leon,0.541666666666667,0.918604651162791,0.539325842696629,NA,1.03883495145631,0.692307692307692
SAMR_51082_Ct_leon,0.622047244094488,0.973214285714286,0.719298245614035,1.03883495145631,NA,0.766917293233083
SAMR_51580_Ct_leon,0.1953125,0.408,0.272727272727273,0.692307692307692,0.766917293233083,NA
