,CUMV_14377_Ct_gree,CUMV_14378_Ct_gree,NTMR_13629_Ct_gree,SAMR_48771_Ct_gree
CUMV_14377_Ct_gree,NA,0,1876.62329730823,169.271970509001
CUMV_14378_Ct_gree,0,NA,1876.62329730823,169.271970509001
NTMR_13629_Ct_gree,1876.62329730823,1876.62329730823,NA,2024.74442831682
SAMR_48771_Ct_gree,169.271970509001,169.271970509001,2024.74442831682,NA
