,NA_ABTC61569_Ct_robu,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu,SAMR_55725_Ct_spal
SAMAR_51093_Ct_spal,1052.18724569347,1817.16785135551,1739.86637417935,879.323603686379,1207.48416138681,1181.67423598892,1067.04123631657,1260.35947253155,1260.35947253155,956.97230889927,NA,254.892134048895,309.066335921595,846.282458757122,949.921575710332,781.984015181896,1991.09768720673,1208.78740893509,417.447002624285,790.222120672409,257.151706196945,427.651727460559,1972.94424655133,1162.12133617794,2064.79490506927,1109.2510987148,2087.27358053514,2039.96544088374,234.038458378105
SAMAR_54485_Ct_spal,1232.24104784738,2050.82836922059,1973.5361663775,1118.30675576963,1454.83401115041,1429.62582517245,1317.83420808537,1505.91500424161,1505.91500424161,1198.39642856611,254.892134048895,NA,58.3266662856707,1091.15993328201,710.116187676355,1023.36845759482,1738.32850750369,1380.46477680526,595.538411859386,536.815610801325,283.014133922672,267.21901129972,1725.36228079786,921.23286958293,1816.53241094124,1353.20212828683,1837.40333079049,1790.58398295081,88.3289307078943
SAMAR_55675_Ct_spal,1288.11567803517,2109.10241572096,2031.81175309131,1176.31118331843,1511.97817444565,1486.64387127516,1373.90283499234,1563.35728482008,1563.35728482008,1256.24440297261,309.066335921595,58.3266662856707,NA,1143.07480070204,652.302843777336,1079.75691708829,1682.73705610829,1435.35466000567,652.620870030985,481.357455535904,304.685083323749,236.347202225878,1667.8612052566,863.180166593278,1759.18731236898,1409.7524605405,1780.45921042859,1733.48983267858,106.348483769163
SAMR_21493_Ct_robu,880.498722315938,1178.55801723971,1110.01846831483,439.440553431292,523.963739203392,495.416996075024,352.713764970975,586.898628384834,586.898628384834,435.465268419882,846.282458757122,1091.15993328201,1143.07480070204,NA,1740.90579871514,251.604848919889,2812.7495444849,1028.58786693214,726.565895153358,1610.39094632328,919.125127498971,1170.15383604037,2778.11716815544,1952.74678337976,2871.9749302527,387.414506697929,2898.81855244512,2849.98122800835,1053.56252780744
SAMR_28536_Ct_robu,1917.23577058222,2757.24899129549,2680.37086986111,1824.10663065513,2152.15264328532,2125.91933054855,2005.99800598106,2205.56818076431,2205.56818076431,1902.30202649316,949.921575710332,710.116187676355,652.302843777336,1740.90579871514,NA,1709.21209918488,1086.54544313618,2057.69628468343,1292.68209548984,240.769599409892,822.081504475073,571.339653796234,1037.46807179787,214.520395300773,1131.2316296851,2039.467822742,1159.13329690765,1109.88918365754,716.546579086105
SAMR_32932_Ct_robu,634.922829956523,1088.58532049629,1014.7955459106,236.636852582179,463.580629448643,438.350316527774,331.448336849048,516.283836663516,516.283836663516,263.486242525108,781.984015181896,1023.36845759482,1079.75691708829,251.604848919889,1709.21209918488,NA,2754.14759953057,788.157344697111,548.766799287275,1550.1412838835,907.445866154009,1151.58021865609,2740.60102897157,1923.60468911884,2832.57568301361,331.292921747507,2854.18780040838,2807.06109659195,1005.35814514033
SAMR_33525_Ct_robu,2842.74339327348,3754.43670874873,3677.82231762221,2842.95972535666,3189.4065278669,3165.01595572597,3055.92850047248,3237.84218268896,3237.84218268896,2926.04066957382,1991.09768720673,1738.32850750369,1682.73705610829,2812.7495444849,1086.54544313618,2754.14759953057,NA,2956.50486216411,2276.47490651665,1205.51358349875,1899.84709911087,1652.11500810325,238.400922817006,890.399910152736,230.182536261985,3084.9774715547,185.722911887575,184.891860285952,1767.39865338865
SAMR_33695_Ct_robu,168.555628799515,924.568007233649,861.7691106091,616.283214115069,780.265980291336,786.20290002009,844.818323664917,761.002628116355,761.002628116355,636.7896041865,1208.78740893509,1380.46477680526,1435.35466000567,1028.58786693214,2057.69628468343,788.157344697111,2956.50486216411,NA,798.591885758928,1841.02091242875,1417.19229464459,1601.91416748838,3004.60879317092,2259.7077244635,3087.01230966124,799.016270172266,3093.03540231922,3053.07844642092,1412.38698662937
SAMR_33876_Ct_robu,642.53560212645,1480.28544544625,1403.8543371732,583.155210900151,940.806037395594,920.44988999945,841.111764273928,980.278531846944,980.278531846944,667.567225079242,417.447002624285,595.538411859386,652.620870030985,726.565895153358,1292.68209548984,548.766799287275,2276.47490651665,798.591885758928,NA,1096.30242177968,624.615881962667,805.13228726713,2289.57397783955,1502.58776781924,2377.73884184113,852.409525990882,2392.56953921929,2348.32812869071,618.36882198248
SAMR_36313_Ct_robu,1706.18082277348,2573.07170518041,2496.09655261971,1648.46565023357,1988.7093804777,1963.75787713251,1852.15280147184,2038.81460657903,2038.81460657903,1729.62452572806,790.222120672409,536.815610801325,481.357455535904,1610.39094632328,240.769599409892,1550.1412838835,1205.51358349875,1841.02091242875,1096.30242177968,NA,710.750307773412,479.327654115637,1196.74976498849,421.27069682094,1286.83293398949,1881.2620763732,1305.54586284818,1259.26248256668,567.618710051034
SAMR_39480_Ct_robu,1255.37364955618,1983.92943422895,1908.07494611716,1051.63254038661,1353.01995550694,1325.59081167606,1198.1544140886,1409.89751400589,1409.89751400589,1121.40670588328,257.151706196945,283.014133922672,304.685083323749,919.125127498971,822.081504475073,907.445866154009,1899.84709911087,1417.19229464459,624.615881962667,710.750307773412,NA,251.099581839556,1859.26598419914,1033.73932884456,1953.2339849593,1232.30880870016,1980.75389687866,1931.65162490548,211.397729410701
SAMR_40718_Ct_robu,1446.40174225559,2219.92139500479,2143.6121384243,1284.71942462158,1597.03287380066,1569.98280245358,1444.99653978824,1652.77161156646,1652.77161156646,1358.0920440088,427.651727460559,267.21901129972,236.347202225878,1170.15383604037,571.339653796234,1151.58021865609,1652.11500810325,1601.91416748838,805.13228726713,479.327654115637,251.099581839556,NA,1608.40013678189,782.731116028998,1702.40888155578,1479.00304259322,1730.35401002223,1681.14514542915,218.938347486227
SAMR_46204_Ct_robu,2881.50915320427,3767.64780731957,3690.58748710825,2842.26933980578,3179.50798080458,3153.91169819321,3037.59510139189,3231.14917637673,3231.14917637673,2923.25965319538,1972.94424655133,1725.36228079786,1667.8612052566,2778.11716815544,1037.46807179787,2740.60102897157,238.400922817006,3004.60879317092,2289.57397783955,1196.74976498849,1859.26598419914,1608.40013678189,NA,826.187024831545,95.8905626221893,3071.65281241224,142.723508925475,92.5958962373603,1742.81984152121
SAMR_48684_Ct_robu,2122.33126537777,2970.17861415774,2893.21603064825,2037.25403423334,2365.84319006987,2339.58073166967,2219.38031891787,2419.32428582859,2419.32428582859,2115.7622739807,1162.12133617794,921.23286958293,863.180166593278,1952.74678337976,214.520395300773,1923.60468911884,890.399910152736,2259.7077244635,1502.58776781924,421.27069682094,1033.73932884456,782.731116028998,826.187024831545,NA,920.597631976098,2253.7874788897,951.083066824344,901.074358751818,928.839060332844
SAMR_48962_Ct_robu,2965.68069758024,3856.3406229222,3779.34081553913,2932.57224974936,3271.05029004447,3245.5813038653,3130.00495207276,3322.33201230702,3322.33201230702,3013.87292366483,2064.79490506927,1816.53241094124,1759.18731236898,2871.9749302527,1131.2316296851,2832.57568301361,230.182536261985,3087.01230966124,2377.73884184113,1286.83293398949,1953.2339849593,1702.40888155578,95.8905626221893,920.597631976098,NA,3163.69815247915,65.7951365983839,49.7694685525172,1835.24657743857
SAMR_49609_Ct_robu,691.934968042518,797.937967513766,729.301720826161,324.551998915428,188.217958760582,170.815690145841,148.832120189158,232.903413457167,232.903413457167,251.988094956885,1109.2510987148,1353.20212828683,1409.7524605405,387.414506697929,2039.467822742,331.292921747507,3084.9774715547,799.016270172266,852.409525990882,1881.2620763732,1232.30880870016,1479.00304259322,3071.65281241224,2253.7874788897,3163.69815247915,NA,3185.42100828132,3138.28344800147,1334.5059010735
SAMR_50372_Ct_robu,2974.13231043947,3871.77194576333,3794.85678254134,2951.25210715723,3292.16570056855,3266.98867460541,3153.15556228994,3342.66734809194,3342.66734809194,3033.10418548391,2087.27358053514,1837.40333079049,1780.45921042859,2898.81855244512,1159.13329690765,2854.18780040838,185.722911887575,3093.03540231922,2392.56953921929,1305.54586284818,1980.75389687866,1730.35401002223,142.723508925475,951.083066824344,65.7951365983839,3185.42100828132,NA,53.0282943342514,1858.98386222151
SAMR_52303_Ct_robu,2932.93624206187,3827.37899874052,3750.39331270735,2905.43576766033,3245.39535341998,3220.10729634899,3105.62747283057,3296.21009645927,3296.21009645927,2987.06159963266,2039.96544088374,1790.58398295081,1733.48983267858,2849.98122800835,1109.88918365754,2807.06109659195,184.891860285952,3053.07844642092,2348.32812869071,1259.26248256668,1931.65162490548,1681.14514542915,92.5958962373603,901.074358751818,49.7694685525172,3138.28344800147,53.0282943342514,NA,1811.14024857271
SAMR_55725_Ct_spal,1259.81109695065,2049.19032791003,1971.97844815809,1111.97032334501,1438.62573312172,1412.51123889334,1294.92432211307,1492.1038837829,1492.1038837829,1189.45785969912,234.038458378105,88.3289307078943,106.348483769163,1053.56252780744,716.546579086105,1005.35814514033,1767.39865338865,1412.38698662937,618.36882198248,567.618710051034,211.397729410701,218.938347486227,1742.81984152121,928.839060332844,1835.24657743857,1334.5059010735,1858.98386222151,1811.14024857271,NA
