,NA_ABTC61569_Ct_robu,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu,SAMR_55725_Ct_spal
NA_ABTC61569_Ct_robu,NA,968.284565610751,899.097881212051,479.531020894373,699.502680480926,699.705652399636,733.522324131993,693.269067534388,693.269067534388,513.519230409144,1052.18724569347,1232.24104784738,1288.11567803517,880.498722315938,1917.23577058222,634.922829956523,2842.74339327348,168.555628799515,642.53560212645,1706.18082277348,1255.37364955618,1446.40174225559,2881.50915320427,2122.33126537777,2965.68069758024,691.934968042518,2974.13231043947,2932.93624206187,1259.81109695065
NA_CCM2497_Ct_spal,968.284565610751,NA,78.7527777287887,939.01810419182,667.786642573809,697.500537634201,843.968008872374,602.251608549118,602.251608549118,866.240728666114,1817.16785135551,2050.82836922059,2109.10241572096,1178.55801723971,2757.24899129549,1088.58532049629,3754.43670874873,924.568007233649,1480.28544544625,2573.07170518041,1983.92943422895,2219.92139500479,3767.64780731957,2970.17861415774,3856.3406229222,797.937967513766,3871.77194576333,3827.37899874052,2049.19032791003
NA_CCM5477_Ct_vert,899.097881212051,78.7527777287887,NA,861.863678315776,596.906190284537,626.588381635025,773.715710064104,531.054611127707,531.054611127707,789.671450667934,1739.86637417935,1973.5361663775,2031.81175309131,1110.01846831483,2680.37086986111,1014.7955459106,3677.82231762221,861.7691106091,1403.8543371732,2496.09655261971,1908.07494611716,2143.6121384243,3690.58748710825,2893.21603064825,3779.34081553913,729.301720826161,3794.85678254134,3750.39331270735,1971.97844815809
NTMR_21670_Ct_spal,479.531020894373,939.01810419182,861.863678315776,NA,361.787230288743,343.601513384327,300.491264432096,400.032498679795,400.032498679795,86.6371744691619,879.323603686379,1118.30675576963,1176.31118331843,439.440553431292,1824.10663065513,236.636852582179,2842.95972535666,616.283214115069,583.155210900151,1648.46565023357,1051.63254038661,1284.71942462158,2842.26933980578,2037.25403423334,2932.57224974936,324.551998915428,2951.25210715723,2905.43576766033,1111.97032334501
NTMR_22298_Ct_spal,699.502680480926,667.786642573809,596.906190284537,361.787230288743,NA,29.732137494637,177.220202008687,66.3475696615935,66.3475696615935,275.619302662205,1207.48416138681,1454.83401115041,1511.97817444565,523.963739203392,2152.15264328532,463.580629448643,3189.4065278669,780.265980291336,940.806037395594,1988.7093804777,1353.01995550694,1597.03287380066,3179.50798080458,2365.84319006987,3271.05029004447,188.217958760582,3292.16570056855,3245.39535341998,1438.62573312172
NTMR_22299_Ct_spal,699.705652399636,697.500537634201,626.588381635025,343.601513384327,29.732137494637,NA,147.699018277035,95.7810002035894,95.7810002035894,257.996124001893,1181.67423598892,1429.62582517245,1486.64387127516,495.416996075024,2125.91933054855,438.350316527774,3165.01595572597,786.20290002009,920.44988999945,1963.75787713251,1325.59081167606,1569.98280245358,3153.91169819321,2339.58073166967,3245.5813038653,170.815690145841,3266.98867460541,3220.10729634899,1412.51123889334
NTMR_22325_Ct_spal,733.522324131993,843.968008872374,773.715710064104,300.491264432096,177.220202008687,147.699018277035,NA,243.065834703275,243.065834703275,231.056270202737,1067.04123631657,1317.83420808537,1373.90283499234,352.713764970975,2005.99800598106,331.448336849048,3055.92850047248,844.818323664917,841.111764273928,1852.15280147184,1198.1544140886,1444.99653978824,3037.59510139189,2219.38031891787,3130.00495207276,148.832120189158,3153.15556228994,3105.62747283057,1294.92432211307
NTMR_22621_Ct_spal,693.269067534388,602.251608549118,531.054611127707,400.032498679795,66.3475696615935,95.7810002035894,243.065834703275,NA,0,314.264220044217,1260.35947253155,1505.91500424161,1563.35728482008,586.898628384834,2205.56818076431,516.283836663516,3237.84218268896,761.002628116355,980.278531846944,2038.81460657903,1409.89751400589,1652.77161156646,3231.14917637673,2419.32428582859,3322.33201230702,232.903413457167,3342.66734809194,3296.21009645927,1492.1038837829
NTMR_22622_Ct_spal,693.269067534388,602.251608549118,531.054611127707,400.032498679795,66.3475696615935,95.7810002035894,243.065834703275,0,NA,314.264220044217,1260.35947253155,1505.91500424161,1563.35728482008,586.898628384834,2205.56818076431,516.283836663516,3237.84218268896,761.002628116355,980.278531846944,2038.81460657903,1409.89751400589,1652.77161156646,3231.14917637673,2419.32428582859,3322.33201230702,232.903413457167,3342.66734809194,3296.21009645927,1492.1038837829
SAMAR_34202_Ct_spal,513.519230409144,866.240728666114,789.671450667934,86.6371744691619,275.619302662205,257.996124001893,231.056270202737,314.264220044217,314.264220044217,NA,956.97230889927,1198.39642856611,1256.24440297261,435.465268419882,1902.30202649316,263.486242525108,2926.04066957382,636.7896041865,667.567225079242,1729.62452572806,1121.40670588328,1358.0920440088,2923.25965319538,2115.7622739807,3013.87292366483,251.988094956885,3033.10418548391,2987.06159963266,1189.45785969912
