,SAMR_45385_Ct_pian,SAMR_48807_Ct_pian,UMMZ_242644_Ct_pian,WAMR_119955_Ct_pian,WAMR_166456_Ct_pian
SAMR_45385_Ct_pian,NA,118.570654042221,1580.11961572534,775.225128591689,268.708019977075
SAMR_48807_Ct_pian,118.570654042221,NA,1462.57136578015,659.859833601046,383.125305872635
UMMZ_242644_Ct_pian,1580.11961572534,1462.57136578015,NA,817.535320337904,1835.68461343445
WAMR_119955_Ct_pian,775.225128591689,659.859833601046,817.535320337904,NA,1035.56071767907
WAMR_166456_Ct_pian,268.708019977075,383.125305872635,1835.68461343445,1035.56071767907,NA
