,CUMV_14845_Ct_calu,WAMR_102658_Ct_nasu,WAMR_139414_Ct_nigr,WAMR_157327_Ct_rufe
CUMV_14845_Ct_calu,NA,347.516906063576,880.60604131473,1737.44266092438
WAMR_102658_Ct_nasu,347.516906063576,NA,1221.45282348521,2079.63530456664
WAMR_139414_Ct_nigr,880.60604131473,1221.45282348521,NA,858.718813116377
WAMR_157327_Ct_rufe,1737.44266092438,2079.63530456664,858.718813116377,NA
