,NA_CCM0750_Ct_haly,NA_CCM0751_Ct_haly,NA_CCM0804_Ct_haly,NA_CCM0816_Ct_haly,NA_CCM0817_Ct_haly,NA_CCM0820_Ct_haly,NA_CCM1424_Ct_ehma,NA_CCM1425_Ct_ehma
NA_CCM0750_Ct_haly,NA,0,56.098128311023,56.098128311023,56.098128311023,51.0098029794274,446.493001064966,448.532050136888
NA_CCM0751_Ct_haly,0,NA,56.098128311023,56.098128311023,56.098128311023,51.0098029794274,446.493001064966,448.532050136888
NA_CCM0804_Ct_haly,56.098128311023,56.098128311023,NA,0,0,9.21954445729289,481.646135663933,483.762338343943
NA_CCM0816_Ct_haly,56.098128311023,56.098128311023,0,NA,0,9.21954445729289,481.646135663933,483.762338343943
NA_CCM0817_Ct_haly,56.098128311023,56.098128311023,0,0,NA,9.21954445729289,481.646135663933,483.762338343943
NA_CCM0820_Ct_haly,51.0098029794274,51.0098029794274,9.21954445729289,9.21954445729289,9.21954445729289,NA,472.451055666087,474.568224810722
NA_CCM1424_Ct_ehma,446.493001064966,446.493001064966,481.646135663933,481.646135663933,481.646135663933,472.451055666087,NA,2.23606797749979
NA_CCM1425_Ct_ehma,448.532050136888,448.532050136888,483.762338343943,483.762338343943,483.762338343943,474.568224810722,2.23606797749979,NA
