,NTMR_25649_Ct_leon,SAMR_22246_Ct_leon,SAMR_46944_Ct_leon,SAMR_49090_Ct_leon,SAMR_51082_Ct_leon,SAMR_51580_Ct_leon
NTMR_25649_Ct_leon,NA,597.280921753236,177.140906867033,769.664951022926,694.829826498204,190.988301703664
SAMR_22246_Ct_leon,597.280921753236,NA,496.720282299195,681.178860413296,1258.33171780184,638.749867043838
SAMR_46944_Ct_leon,177.140906867033,496.720282299195,NA,596.113282574247,761.784913551883,347.921672518422
SAMR_49090_Ct_leon,769.664951022926,681.178860413296,596.113282574247,NA,1083.80888720245,942.534180290864
SAMR_51082_Ct_leon,694.829826498204,1258.33171780184,761.784913551883,1083.80888720245,NA,787.991428316343
SAMR_51580_Ct_leon,190.988301703664,638.749867043838,347.921672518422,942.534180290864,787.991428316343,NA
