,SAMAR_36034_Ct_taen,SAMAR_39563_Ct_taen,SAMAR_42658_Ct_taen,SAMAR_47257_Ct_taen,SAMR_35905_Ct_taen,SAMR_44934_Ct_taen
SAMAR_36034_Ct_taen,NA,787.610375273281,405.606268667007,199.777753389308,361.317086249083,113.801370027224
SAMAR_39563_Ct_taen,787.610375273281,NA,1159.11300391868,885.133815468662,1119.99169673713,674.065888674124
SAMAR_42658_Ct_taen,405.606268667007,1159.11300391868,NA,470.139426957892,366.354425372071,510.727127398598
SAMAR_47257_Ct_taen,199.777753389308,885.133815468662,470.139426957892,NA,241.857690016512,260.869969678363
SAMR_35905_Ct_taen,361.317086249083,1119.99169673713,366.354425372071,241.857690016512,NA,462.328282338644
SAMR_44934_Ct_taen,113.801370027224,674.065888674124,510.727127398598,260.869969678363,462.328282338644,NA
