,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho
NA_ABTC113798_Ct_scho,NA,667.982784209294,909.81866325109,896.828857698056,1119.09829773796,345.645772431835,543.369119475886,548.966301333698,656.806668662857,239.724842267129,671.826614536816,1406.36766174425,990.499369005352,1234.04497486923,765.43386389681,295.858074082828,624.342854527863,16.4924225024706
NA_ABTC12623_Ct_scho,667.982784209294,NA,254.905864977642,244.795833297873,1772.95516017749,965.487441658357,152.574571931236,122.176102409596,178.913386866383,533.703100984058,119.415241908225,2063.03974755699,328.764353298833,1894.91899563016,1398.7058304018,852.909725586477,71.9513724677994,661.83457147538
SAMAR_24578_Ct_scho,909.81866325109,254.905864977642,NA,27.2763633939717,1999.56320230194,1189.36159346096,371.319269631944,371.233080422529,287.529128959137,750.403891247907,249.997999992,2290.31220579204,84.9176071259665,2126.13193381784,1617.36977837475,1066.77926489035,287.628232272147,902.136353330249
SAMAR_35050_Ct_scho,896.828857698056,244.795833297873,27.2763633939717,NA,1983.6625217007,1173.08695329886,356.120766033097,358.867663631038,269.534784397116,733.652506299815,232.325203109779,2274.47268614068,101.916632597432,2110.75744698438,1600.85883200237,1049.9057100521,273.740753268489,888.962316411669
SAMAR_37073_Ct_scho,1119.09829773796,1772.95516017749,1999.56320230194,1983.6625217007,NA,810.943894483459,1632.56515949594,1653.48087379322,1720.52840720518,1250.58506308048,1751.69574983785,290.914076661821,2083.03000458467,150.153255042973,394.618803403994,938.110334662187,1719.54906879682,1121.84713753702
SAMAR_41321_Ct_scho,345.645772431835,965.487441658357,1189.36159346096,1173.08695329886,810.943894483459,NA,822.623243046293,847.236094604096,910.959933257221,439.737421650694,940.953771446823,1101.78173882126,1272.63977621321,940.109568082359,434.844799899918,141.467310711698,910.003846145718,342.728755723823
SAMAR_41903_Ct_scho,543.369119475886,152.574571931236,371.319269631944,356.120766033097,1632.56515949594,822.623243046293,NA,76.5375724726098,139.158183374173,386.059580893934,131.16783142219,1923.20877701824,452.966886206928,1757.57190464572,1254.32890423525,705.718074021064,88.2383136738231,535.202765314231
SAMAR_46104_Ct_scho,548.966301333698,122.176102409596,371.233080422529,358.867663631038,1653.48087379322,847.236094604096,76.5375724726098,NA,195.665530945029,420.085705541143,163.954261914718,1943.41709367804,448.150644315056,1774.81970915358,1281.3364117202,738.089425476344,93.187982057774,542.877518414605
SAMAR_46452_Ct_scho,656.806668662857,178.913386866383,287.529128959137,269.534784397116,1720.52840720518,910.959933257221,139.158183374173,195.665530945029,NA,472.505026428291,65.2226954364813,2011.29485655386,370.917780646871,1850.15404764036,1335.04082334586,784.18428956464,121.255927690155,646.785126606974
SAMAR_48325_Ct_scho,239.724842267129,533.703100984058,750.403891247907,733.652506299815,1250.58506308048,439.737421650694,386.059580893934,420.085705541143,472.505026428291,NA,501.422975141746,1541.44802053134,833.594025890301,1379.07976564084,869.217464159574,320.062493897676,473.940924588709,225.255410589846
