,NTMR_14947_Ct_calu,SAMAR_45381_Ct_calu,SAMAR_48699_Ct_calu,SAMAR_48785_Ct_calu,SAMAR_57213_Ct_calu,SAMR_62029_Ct_calu,WAMR_166440_Ct_calu
NTMR_14947_Ct_calu,NA,757.674072408447,670.824865370985,651.514389710619,257.394638638803,999.839487117807,907.816060664274
SAMAR_45381_Ct_calu,757.674072408447,NA,89.8554394569411,108.66922287382,588.246546951191,257.571349338392,152.636823866327
SAMAR_48699_Ct_calu,670.824865370985,89.8554394569411,NA,19.672315572906,499.565811480329,345.796182743535,241.586423459598
SAMAR_48785_Ct_calu,651.514389710619,108.66922287382,19.672315572906,NA,480.970893090216,364.28834732942,260.704813917964
SAMAR_57213_Ct_calu,257.394638638803,588.246546951191,499.565811480329,480.970893090216,NA,844.021919146653,736.753690184175
SAMR_62029_Ct_calu,999.839487117807,257.571349338392,345.796182743535,364.28834732942,844.021919146653,NA,120.710397232384
WAMR_166440_Ct_calu,907.816060664274,152.636823866327,241.586423459598,260.704813917964,736.753690184175,120.710397232384,NA
