,NA_CCM0848_Ct_inor,NA_CCM1249_Ct_inor,NA_CCM1444_Ct_inor,NA_CCM1445_Ct_inor,NA_CCM1530_Ct_robu,NA_CCM1580_Ct_inor,NA_CCM1710_Ct_inor,NA_CCM4920_Ct_essi,WAMR_126017_Ct_inor
NA_CCM0848_Ct_inor,NA,219.12750510043,271.632088232141,269.074536440756,183.994538450973,184.632774180901,609.42998754281,685.042375371957,302.347569205789
NA_CCM1249_Ct_inor,219.12750510043,NA,210.575458419887,205.764351263834,106.198981842029,107.303351701135,704.720852283307,809.261137891475,398.777664875102
NA_CCM1444_Ct_inor,271.632088232141,210.575458419887,NA,4.83307767336327,118.383543653659,117.080146653721,516.45371450976,634.638446592812,240.047660357146
NA_CCM1445_Ct_inor,269.074536440756,205.764351263834,4.83307767336327,NA,114.007757924565,112.707703525751,520.80092610943,638.671906361482,243.167953196031
NA_CCM1530_Ct_robu,183.994538450973,106.198981842029,118.383543653659,114.007757924565,NA,1.31525876596114,598.539385283895,704.262664180925,294.08164562333
NA_CCM1580_Ct_inor,184.632774180901,107.303351701135,117.080146653721,112.707703525751,1.31525876596114,NA,597.452233947823,703.290932784609,293.142407985301
NA_CCM1710_Ct_inor,609.42998754281,704.720852283307,516.45371450976,520.80092610943,598.539385283895,597.452233947823,NA,139.977968256343,313.316536373653
NA_CCM4920_Ct_essi,685.042375371957,809.261137891475,634.638446592812,638.671906361482,704.262664180925,703.290932784609,139.977968256343,NA,410.489964356251
WAMR_126017_Ct_inor,302.347569205789,398.777664875102,240.047660357146,243.167953196031,294.08164562333,293.142407985301,313.316536373653,410.489964356251,NA
