,AMSR_138399_Ct_uber,AMSR_152993_Ct_uber,SAMAR_25645_Ct_orie,SAMAR_38335_Ct_orie,SAMAR_39580_Ct_orie,SAMAR_49444_Ct_orie,SAMAR_52918_Ct_orie,SAMAR_61391_Ct_orie,WAMR_112780_Ct_orie
AMSR_138399_Ct_uber,NA,61.9435226637943,2804.58517431723,1767.18759615384,1939.65538176244,2683.83363865945,624.334045203367,3382.14621209669,2462.35943761263
AMSR_152993_Ct_uber,61.9435226637943,NA,2762.25397094474,1724.77273865283,1900.63620927309,2645.63602938877,589.482824177261,3339.88802207499,2418.94336436387
SAMAR_25645_Ct_orie,2804.58517431723,2762.25397094474,NA,1037.96242706564,880.926217114691,272.659127850142,2190.26322618995,577.656472308586,348.94985313079
SAMAR_38335_Ct_orie,1767.18759615384,1724.77273865283,1037.96242706564,NA,220.542512908509,939.050051914167,1154.38858275712,1615.57327286632,696.722326325201
SAMAR_39580_Ct_orie,1939.65538176244,1900.63620927309,880.926217114691,220.542512908509,NA,745.805604698704,1319.44154853483,1453.45312961925,562.518444142057
SAMAR_49444_Ct_orie,2683.83363865945,2645.63602938877,272.659127850142,939.050051914167,745.805604698704,NA,2062.94255857986,745.47032134083,366.318167717628
SAMAR_52918_Ct_orie,624.334045203367,589.482824177261,2190.26322618995,1154.38858275712,1319.44154853483,2062.94255857986,NA,2767.23508217137,1851.09886283796
SAMAR_61391_Ct_orie,3382.14621209669,3339.88802207499,577.656472308586,1615.57327286632,1453.45312961925,745.47032134083,2767.23508217137,NA,923.579449749722
WAMR_112780_Ct_orie,2462.35943761263,2418.94336436387,348.94985313079,696.722326325201,562.518444142057,366.318167717628,1851.09886283796,923.579449749722,NA
