,AMSR_153434_Ct_uber,SAMAR_28517_Ct_olym,SAMAR_41282_Ct_olym,SAMAR_43599_Ct_olym,SAMAR_44654_Ct_olym,SAMAR_45620_Ct_olym,SAMAR_62424_Ct_orie,SAMR_48964_Ct_olym
AMSR_153434_Ct_uber,NA,698.307319683758,239.928443563393,913.536918138969,1084.81598711725,710.683582760725,944.967346015851,667.798246119663
SAMAR_28517_Ct_olym,698.307319683758,NA,464.483929216968,323.938944319926,534.26116936768,419.831677062437,357.105018855997,201.68567890419
SAMAR_41282_Ct_olym,239.928443563393,464.483929216968,NA,710.635746484269,898.973432195018,567.835884648254,743.863536837169,467.806679367927
SAMAR_43599_Ct_olym,913.536918138969,323.938944319926,710.635746484269,NA,210.348034169151,314.975354480074,34.3690841696313,245.902764848783
SAMAR_44654_Ct_olym,1084.81598711725,534.26116936768,898.973432195018,210.348034169151,NA,405.106177169564,177.34182114274,432.391921366827
SAMAR_45620_Ct_olym,710.683582760725,419.831677062437,567.835884648254,314.975354480074,405.106177169564,NA,330.350003982426,218.248779356141
SAMAR_62424_Ct_orie,944.967346015851,357.105018855997,743.863536837169,34.3690841696313,177.34182114274,330.350003982426,NA,277.966092897849
SAMR_48964_Ct_olym,667.798246119663,201.68567890419,467.806679367927,245.902764848783,432.391921366827,218.248779356141,277.966092897849,NA
