,NA_ABTC61569_Ct_robu,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu
NA_ABTC61569_Ct_robu,NA,880.498722315938,1917.23577058222,634.922829956523,2842.74339327348,168.555628799515,642.53560212645,1706.18082277348,1255.37364955618,1446.40174225559,2881.50915320427,2122.33126537777,2965.68069758024,691.934968042518,2974.13231043947,2932.93624206187
SAMR_21493_Ct_robu,880.498722315938,NA,1740.90579871514,251.604848919889,2812.7495444849,1028.58786693214,726.565895153358,1610.39094632328,919.125127498971,1170.15383604037,2778.11716815544,1952.74678337976,2871.9749302527,387.414506697929,2898.81855244512,2849.98122800835
SAMR_28536_Ct_robu,1917.23577058222,1740.90579871514,NA,1709.21209918488,1086.54544313618,2057.69628468343,1292.68209548984,240.769599409892,822.081504475073,571.339653796234,1037.46807179787,214.520395300773,1131.2316296851,2039.467822742,1159.13329690765,1109.88918365754
SAMR_32932_Ct_robu,634.922829956523,251.604848919889,1709.21209918488,NA,2754.14759953057,788.157344697111,548.766799287275,1550.1412838835,907.445866154009,1151.58021865609,2740.60102897157,1923.60468911884,2832.57568301361,331.292921747507,2854.18780040838,2807.06109659195
SAMR_33525_Ct_robu,2842.74339327348,2812.7495444849,1086.54544313618,2754.14759953057,NA,2956.50486216411,2276.47490651665,1205.51358349875,1899.84709911087,1652.11500810325,238.400922817006,890.399910152736,230.182536261985,3084.9774715547,185.722911887575,184.891860285952
SAMR_33695_Ct_robu,168.555628799515,1028.58786693214,2057.69628468343,788.157344697111,2956.50486216411,NA,798.591885758928,1841.02091242875,1417.19229464459,1601.91416748838,3004.60879317092,2259.7077244635,3087.01230966124,799.016270172266,3093.03540231922,3053.07844642092
SAMR_33876_Ct_robu,642.53560212645,726.565895153358,1292.68209548984,548.766799287275,2276.47490651665,798.591885758928,NA,1096.30242177968,624.615881962667,805.13228726713,2289.57397783955,1502.58776781924,2377.73884184113,852.409525990882,2392.56953921929,2348.32812869071
SAMR_36313_Ct_robu,1706.18082277348,1610.39094632328,240.769599409892,1550.1412838835,1205.51358349875,1841.02091242875,1096.30242177968,NA,710.750307773412,479.327654115637,1196.74976498849,421.27069682094,1286.83293398949,1881.2620763732,1305.54586284818,1259.26248256668
SAMR_39480_Ct_robu,1255.37364955618,919.125127498971,822.081504475073,907.445866154009,1899.84709911087,1417.19229464459,624.615881962667,710.750307773412,NA,251.099581839556,1859.26598419914,1033.73932884456,1953.2339849593,1232.30880870016,1980.75389687866,1931.65162490548
SAMR_40718_Ct_robu,1446.40174225559,1170.15383604037,571.339653796234,1151.58021865609,1652.11500810325,1601.91416748838,805.13228726713,479.327654115637,251.099581839556,NA,1608.40013678189,782.731116028998,1702.40888155578,1479.00304259322,1730.35401002223,1681.14514542915
SAMR_46204_Ct_robu,2881.50915320427,2778.11716815544,1037.46807179787,2740.60102897157,238.400922817006,3004.60879317092,2289.57397783955,1196.74976498849,1859.26598419914,1608.40013678189,NA,826.187024831545,95.8905626221893,3071.65281241224,142.723508925475,92.5958962373603
SAMR_48684_Ct_robu,2122.33126537777,1952.74678337976,214.520395300773,1923.60468911884,890.399910152736,2259.7077244635,1502.58776781924,421.27069682094,1033.73932884456,782.731116028998,826.187024831545,NA,920.597631976098,2253.7874788897,951.083066824344,901.074358751818
SAMR_48962_Ct_robu,2965.68069758024,2871.9749302527,1131.2316296851,2832.57568301361,230.182536261985,3087.01230966124,2377.73884184113,1286.83293398949,1953.2339849593,1702.40888155578,95.8905626221893,920.597631976098,NA,3163.69815247915,65.7951365983839,49.7694685525172
SAMR_49609_Ct_robu,691.934968042518,387.414506697929,2039.467822742,331.292921747507,3084.9774715547,799.016270172266,852.409525990882,1881.2620763732,1232.30880870016,1479.00304259322,3071.65281241224,2253.7874788897,3163.69815247915,NA,3185.42100828132,3138.28344800147
SAMR_50372_Ct_robu,2974.13231043947,2898.81855244512,1159.13329690765,2854.18780040838,185.722911887575,3093.03540231922,2392.56953921929,1305.54586284818,1980.75389687866,1730.35401002223,142.723508925475,951.083066824344,65.7951365983839,3185.42100828132,NA,53.0282943342514
SAMR_52303_Ct_robu,2932.93624206187,2849.98122800835,1109.88918365754,2807.06109659195,184.891860285952,3053.07844642092,2348.32812869071,1259.26248256668,1931.65162490548,1681.14514542915,92.5958962373603,901.074358751818,49.7694685525172,3138.28344800147,53.0282943342514,NA
