,WAMR_102159_Ct_duri,WAMR_102494_Ct_duri,WAMR_110222_Ct_duri,WAMR_111584_Ct_duri,WAMR_141296_Ct_duri
WAMR_102159_Ct_duri,NA,1.5,1.25316455696203,0.4375,1.37209302325581
WAMR_102494_Ct_duri,1.5,NA,0.358490566037736,1.32876712328767,0.432203389830508
WAMR_110222_Ct_duri,1.25316455696203,0.358490566037736,NA,1.31081081081081,0.175
WAMR_111584_Ct_duri,0.4375,1.32876712328767,1.31081081081081,NA,1.40963855421687
WAMR_141296_Ct_duri,1.37209302325581,0.432203389830508,0.175,1.40963855421687,NA
