,AMR_123129_Ct_zast,UMMZ_242654_Ct_zast,UMMZ_242655_Ct_zast
AMR_123129_Ct_zast,NA,94.2465306303736,94.6140242046625
UMMZ_242654_Ct_zast,94.2465306303736,NA,0.37040266830085
UMMZ_242655_Ct_zast,94.6140242046625,0.37040266830085,NA
