,NA_CCM0535_Ct_inor,NTMR_25983_Ct_spal,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,190.475720237515,491.450913113405,1720.06598710631,1720.06598710631,725.872578349671,677.202333132425,1233.7171474856,660.089387886217,1671.64769015484,1634.0116278656,1136.13071431064,1070.24623335006,615.470551691955
NTMR_25983_Ct_spal,190.475720237515,NA,319.156701323973,1557.2083996691,1557.2083996691,547.93065254647,518.370523853353,1051.17410546493,477.044023125749,1500.06633186669,1462.77852048764,953.669754160212,888.829567464989,467.417372377194
UMMZ_242624_Ct_inor,491.450913113405,319.156701323973,NA,1239.4188154131,1239.4188154131,235.633189512853,207.506626400219,745.848510087672,368.800759218307,1183.17116259652,1145.73208037481,648.222955471341,581.514402229214,504.899990097049
UMMZ_242629_Ct_inor,1720.06598710631,1557.2083996691,1239.4188154131,NA,0,1019.92646793776,1043.16154070211,606.480832343447,1317.4926944769,163.422764632104,171.851680236185,680.138221246241,723.383715603275,1535.88834229575
UMMZ_242630_Ct_inor,1720.06598710631,1557.2083996691,1239.4188154131,0,NA,1019.92646793776,1043.16154070211,606.480832343447,1317.4926944769,163.422764632104,171.851680236185,680.138221246241,723.383715603275,1535.88834229575
WAMR_108698_Ct_saxa,725.872578349671,547.93065254647,235.633189512853,1019.92646793776,1019.92646793776,NA,140.939703419583,510.561455654459,382.310083570915,953.964884049722,916.946563328529,413.025422946336,346.072246792487,585.806281973828
WAMR_108745_Ct_saxa,677.202333132425,518.370523853353,207.506626400219,1043.16154070211,1043.16154070211,140.939703419583,NA,596.480510997635,482.34945838054,998.016532929189,960.126554158357,503.187837690857,435.428524559428,664.4343458913
WAMR_108816_Ct_saxa,1233.7171474856,1051.17410546493,745.848510087672,606.480832343447,606.480832343447,510.561455654459,596.480510997635,NA,728.310373398594,492.668245374106,460.603951350832,98.0051019080129,164.605589212517,942.642031738454
WAMR_132522_Ct_saxa,660.089387886217,477.044023125749,368.800759218307,1317.4926944769,1317.4926944769,382.310083570915,482.34945838054,728.310373398594,NA,1219.23992716774,1185.66943116536,641.679826704876,594.312207513862,219.704346793594
WAMR_132682_Ct_saxa,1671.64769015484,1500.06633186669,1183.17116259652,163.422764632104,163.422764632104,953.964884049722,998.016532929189,492.668245374106,1219.23992716774,NA,38.0788655293195,578.025085960808,630.925510658746,1434.83448522817
WAMR_132686_Ct_saxa,1634.0116278656,1462.77852048764,1145.73208037481,171.851680236185,171.851680236185,916.946563328529,960.126554158357,460.603951350832,1185.66943116536,38.0788655293195,NA,544.164497188121,595.876665091024,1401.79955771144
WAMR_132723_Ct_saxa,1136.13071431064,953.669754160212,648.222955471341,680.138221246241,680.138221246241,413.025422946336,503.187837690857,98.0051019080129,641.679826704876,578.025085960808,544.164497188121,NA,68.0294054067798,858.50509608272
WAMR_139005_Ct_saxa,1070.24623335006,888.829567464989,581.514402229214,723.383715603275,723.383715603275,346.072246792487,435.428524559428,164.605589212517,594.312207513862,630.925510658746,595.876665091024,68.0294054067798,NA,812.972939279039
WAMR_153812_Ct_saxa,615.470551691955,467.417372377194,504.899990097049,1535.88834229575,1535.88834229575,585.806281973828,664.4343458913,942.642031738454,219.704346793594,1434.83448522817,1401.79955771144,858.50509608272,812.972939279039,NA
