,SAMAR_42675_Ct_pulc,SAMAR_42701_Ct_pulc,SAMAR_42708_Ct_pulc,SAMR_42708_Ct_pulc,SAMR_42772_Ct_pulc
SAMAR_42675_Ct_pulc,NA,785.624592283108,459.046838568789,454.062770990972,33.0907842155486
SAMAR_42701_Ct_pulc,785.624592283108,NA,339.814655363773,344.079932573813,769.416012310636
SAMAR_42708_Ct_pulc,459.046838568789,339.814655363773,NA,5.19615242270663,439.091106719323
SAMR_42708_Ct_pulc,454.062770990972,344.079932573813,5.19615242270663,NA,434.177383105108
SAMR_42772_Ct_pulc,33.0907842155486,769.416012310636,439.091106719323,434.177383105108,NA
